Feature,Score
hsa-mir-1,1
hsa-mir-2,2
hsa-mir-3,3
hsa-mir-4,4
hsa-mir-5,5
hsa-mir-6,6
hsa-mir-7,7
hsa-mir-8,8
hsa-mir-9,9
hsa-mir-10,10
hsa-mir-11,11
hsa-mir-12,12
hsa-mir-13,13
hsa-mir-14,14
hsa-mir-15,15
hsa-mir-16,16
hsa-mir-17,17
hsa-mir-18,18
hsa-mir-19,19
hsa-mir-20,20
hsa-mir-21,21
hsa-mir-22,22
hsa-mir-23,23
hsa-mir-24,24
hsa-mir-25,25
hsa-mir-26,26
hsa-mir-27,27
hsa-mir-28,28
hsa-mir-29,29
hsa-mir-30,30
hsa-mir-31,31
hsa-mir-32,32
hsa-mir-33,33
hsa-mir-34,34
hsa-mir-35,35
hsa-mir-36,36
hsa-mir-37,37
hsa-mir-38,38
