Feature,Score
stage,118.58519934462075
hsa-mir-571,71.19097745683115
hsa-mir-4663,38.3567040932429
hsa-mir-3973,34.193548387096754
hsa-mir-8082,34.193548387096754
hsa-mir-451b,18.50816871353489
hsa-mir-4300,18.0289382106204
hsa-mir-631,13.97939993169274
hsa-mir-1253,12.856372527064678
hsa-mir-6071,11.121702370484675
hsa-mir-4460,10.296171624566984
hsa-mir-3907,9.154019886605338
hsa-mir-4468,9.1384784754613
hsa-mir-591,9.049967247223655
hsa-mir-3683,8.787023691243544
hsa-mir-1282,7.9412078689302055
hsa-mir-891a,7.921378362228949
hsa-mir-936,7.7398972531396275
hsa-mir-6719,7.738202091973041
hsa-mir-4508,7.683884048709157
hsa-mir-575,7.672772249196821
hsa-mir-548c,7.368835878038257
hsa-mir-4450,6.463761966667059
hsa-mir-6835,6.189887377698822
hsa-mir-4488,5.719941846198406
hsa-mir-1272,5.453687255215568
hsa-mir-647,5.249451247903535
hsa-mir-6083,5.234285714285734
hsa-mir-367,5.234285714285734
hsa-mir-3972,5.234285714285734
hsa-mir-921,5.234285714285734
hsa-mir-4264,5.234285714285734
hsa-mir-6127,5.234285714285734
hsa-mir-4418,5.234285714285734
hsa-mir-6090,5.234285714285734
hsa-mir-4302,5.234285714285734
hsa-mir-1299,5.234285714285734
hsa-mir-1972-1,5.234285714285734
hsa-mir-4440,5.2342857142857335
hsa-mir-3665,5.2342857142857335
hsa-mir-3686,5.106335274384411
hsa-mir-1539,5.019428685987438
hsa-mir-4776-2,4.676144238371229
hsa-mir-661,4.655281712004372
hsa-mir-888,4.513682231576536
hsa-mir-6088,4.508029782579815
hsa-mir-7107,4.476407880198567
hsa-mir-6864,4.341823367946005
hsa-mir-6077,4.198444452748607
hsa-mir-3196,4.1071373668618865
hsa-mir-6770-3,4.10260928122077
hsa-mir-5704,4.006648720235084
hsa-mir-6165,4.00543334404509
hsa-mir-3937,3.975816219315278
hsa-mir-4735,3.948821536125456
hsa-mir-6084,3.9357704433183054
hsa-mir-8085,3.908381005354162
hsa-mir-3688-1,3.874658182102212
hsa-mir-6859-4,3.8250472350587406
hsa-mir-578,3.823148039617299
hsa-mir-4666b,3.811345682233939
hsa-mir-6076,3.801402618492735
hsa-mir-890,3.7713677219184807
hsa-mir-6841,3.7599943308715553
hsa-mir-6889,3.74671435199076
hsa-mir-1825,3.7276504409482376
hsa-mir-8083,3.7196466242313444
hsa-mir-4320,3.663696096188698
hsa-mir-548ax,3.4598379050607075
hsa-mir-6080,3.428149921173215
hsa-mir-3155b,3.3678930417916604
hsa-mir-6768,3.3441275186540143
hsa-mir-4737,3.2919529361219233
hsa-mir-3165,3.282214671901143
hsa-mir-4516,3.2173359936679007
hsa-mir-4720,3.2079106497279035
hsa-mir-5681a,3.140405148364634
hsa-mir-4462,3.1260295426731095
hsa-mir-548w,3.096031060387921
hsa-mir-4503,3.0706808726556765
hsa-mir-4779,3.064962256394664
hsa-mir-4471,3.0610930637800244
hsa-mir-6765,3.010814071955222
hsa-mir-4722,2.9355123907920406
hsa-mir-4512,2.9264452997909274
hsa-mir-4448,2.899533958132049
hsa-mir-3142,2.895567300741
hsa-mir-5700,2.8870906130567335
hsa-mir-8079,2.882169154651115
hsa-mir-4492,2.871360577056451
hsa-mir-617,2.8526100422066194
hsa-mir-4428,2.837463278539202
hsa-mir-4642,2.8327443697383754
hsa-mir-4436a,2.7918902634460587
hsa-mir-548as,2.787010827564027
hsa-mir-1265,2.771531271832016
hsa-mir-323a,2.761571065651123
hsa-mir-7849,2.6562682994612503
hsa-mir-6831,2.641113354269293
hsa-mir-5591,2.6267005559272234
hsa-mir-3661,2.6211433760813696
hsa-mir-1269b,2.612703825750894
hsa-mir-4695,2.5974299922384585
hsa-mir-548ak,2.5961973687803863
hsa-mir-323b,2.584562662637588
hsa-mir-6866,2.5768857967456498
hsa-mir-1184-1,2.5422077922078063
hsa-mir-3689d-1,2.5422077922078063
hsa-mir-1184-3,2.5422077922078063
hsa-mir-4535,2.5422077922078063
hsa-mir-4317,2.5422077922078063
hsa-mir-5186,2.5422077922078063
hsa-mir-4441,2.5422077922078063
hsa-mir-1469,2.5422077922078063
hsa-mir-4459,2.5422077922078063
hsa-mir-548f-5,2.5422077922078063
hsa-mir-548h-5,2.5422077922078063
hsa-mir-4276,2.5422077922078063
hsa-mir-4278,2.5422077922078063
hsa-mir-2909,2.5422077922078063
hsa-mir-6131,2.5422077922078063
hsa-mir-4776-1,2.536832422863001
hsa-mir-4435-2,2.526279916622232
hsa-mir-4651,2.524180529560566
hsa-mir-4697,2.520095134341968
hsa-mir-4315-2,2.519936179061906
hsa-mir-3120,2.5112901736306066
hsa-mir-3650,2.509810305425438
hsa-mir-6130,2.50726173237111
hsa-mir-548ah,2.4926775294438333
hsa-mir-302c,2.4749537177569145
hsa-mir-5196,2.4740828190798325
hsa-mir-378j,2.458289488629607
hsa-mir-1184-2,2.454726344442058
hsa-mir-4504,2.451119783231469
hsa-mir-802,2.4507700513542163
hsa-mir-4752,2.4373747076055867
hsa-mir-6504,2.4042248505975747
hsa-mir-4698,2.3927399880836866
hsa-mir-8075,2.3880745352431743
hsa-mir-548ay,2.383662228450828
hsa-mir-4493,2.3552687573532363
hsa-mir-4489,2.340279986392718
hsa-mir-8066,2.334938375193923
hsa-mir-6823,2.3314482021075436
hsa-mir-8052,2.3295407344366934
hsa-mir-3133,2.3264128144024765
hsa-mir-3689c,2.3223737315783373
hsa-mir-6500,2.315266751887001
hsa-mir-5583-1,2.284472785244564
hsa-mir-1285-1,2.2767987264227445
hsa-mir-718,2.272924286620288
hsa-mir-892a,2.268045029495188
hsa-mir-711,2.2540951281877817
hsa-mir-892b,2.252123422601919
hsa-mir-6869,2.24002969017024
hsa-mir-3119-2,2.232377434180802
hsa-mir-5011,2.2272643956371714
hsa-mir-6872,2.175082790575122
hsa-mir-941-1,2.1613449152805546
hsa-mir-6796,2.1584750698552138
hsa-mir-3128,2.144235130815898
hsa-mir-3121,2.134748109131178
hsa-mir-6873,2.120890964776927
hsa-mir-563,2.1150121251816394
hsa-mir-5584,2.10792665583271
hsa-mir-5702,2.1009591179082627
hsa-mir-663a,2.086375435541119
hsa-mir-1193,2.0861995807744687
hsa-mir-1267,2.0839477266942117
hsa-mir-3167,2.0820305403512123
hsa-mir-4655,2.078770288425357
hsa-mir-593,2.0784099472572297
hsa-mir-147a,2.076609671818044
hsa-mir-6722,2.06856458055634
hsa-mir-1289-2,2.051214844874654
hsa-mir-489,2.0401402224523846
hsa-mir-5694,2.037403239509501
hsa-mir-4525,2.028656746249102
hsa-mir-5691,2.026963366732131
hsa-mir-1178,2.019324085184379
hsa-mir-187,2.012018529405707
hsa-mir-3927,2.0093100307634053
hsa-mir-4666a,2.0016342790415047
hsa-mir-378f,1.9923003308103526
hsa-mir-3915,1.9894025816480556
hsa-mir-3180-2,1.9882051004986758
hsa-mir-603,1.9875044057545264
hsa-mir-137,1.9796150948884366
hsa-mir-1297,1.9676949990197476
hsa-mir-4712,1.9671591018121068
hsa-mir-1281,1.966472356861553
hsa-mir-6766,1.947884253174338
hsa-mir-6740,1.9396024676340096
hsa-mir-6826,1.9338060242644857
hsa-mir-4773-1,1.9285971499340966
hsa-mir-4694,1.9269219768955541
hsa-mir-4726,1.9240441497361536
hsa-mir-5587,1.923157134079783
hsa-mir-4730,1.9139521431327224
hsa-mir-4520-1,1.8981175028236121
hsa-mir-876,1.8913215404171426
hsa-mir-372,1.8897603774355805
hsa-mir-548u,1.8861723652477091
hsa-mir-449b,1.8626134329462118
hsa-mir-1302-3,1.8624427515611361
hsa-mir-378e,1.861842620901655
hsa-mir-3921,1.8591024497591782
hsa-mir-4749,1.848996023652266
hsa-mir-548m,1.8482809439403325
hsa-mir-1207,1.8443568649903925
hsa-mir-668,1.8360335398931737
hsa-mir-548ab,1.835121540110463
hsa-mir-7853,1.8338650048035543
hsa-mir-5692a-1,1.832483729360722
hsa-mir-4426,1.832324453347637
hsa-mir-3202-1,1.8307976444328453
hsa-mir-6801,1.8215772823720027
hsa-mir-4804,1.804437367745676
hsa-mir-7113,1.8019746492422533
hsa-mir-630,1.7968218063172503
hsa-mir-922,1.7855968536062443
hsa-mir-4435-1,1.7776525259596978
hsa-mir-4682,1.755707749451988
hsa-mir-1278,1.7461076816174912
hsa-mir-4650-1,1.7441414336616394
hsa-mir-4310,1.741585325916707
hsa-mir-761,1.7399368215885958
hsa-mir-3149,1.7385693687697399
hsa-mir-4690,1.738127386364063
hsa-mir-6073,1.7315266443904052
hsa-mir-4790,1.7307514157268142
hsa-mir-554,1.7262504595185673
hsa-mir-449c,1.7230451523686359
hsa-mir-891b,1.7210693182076895
hsa-mir-541,1.7201915909438468
hsa-mir-6745,1.718201637582308
hsa-mir-548ag-1,1.7167452096775553
hsa-mir-5093,1.7118112926208675
hsa-mir-4510,1.7097839968632917
hsa-mir-4721,1.7058241293826306
hsa-mir-770,1.696812886679202
hsa-mir-3180-5,1.6959974142348808
hsa-mir-548ac,1.6939470782673471
hsa-mir-373,1.6872513405782228
hsa-mir-892c,1.685107683290196
hsa-mir-663b,1.6843059812649441
hsa-mir-3141,1.6786742784091813
hsa-mir-4417,1.6693185263488244
hsa-mir-3941,1.6685095952308258
hsa-mir-3180-4,1.6680621064134116
hsa-mir-3668,1.647988378751519
hsa-mir-4470,1.645990989933785
hsa-mir-6759,1.6442985257058367
hsa-mir-6087,1.6410573273357547
hsa-mir-4461,1.6349613303137773
hsa-mir-5004,1.6285596122012977
hsa-mir-3688-2,1.6279351417961476
hsa-mir-875,1.625828416571428
hsa-mir-550b-1,1.621119209085712
hsa-mir-4681,1.618571981409617
hsa-mir-4673,1.5994427582248516
hsa-mir-371a,1.5959545911557227
hsa-mir-4254,1.5952955917522398
hsa-mir-4263,1.5950190411258618
hsa-mir-3159,1.5942232410763268
hsa-mir-3184,1.5924867886744047
hsa-mir-2682,1.5891312068857684
hsa-mir-1268b,1.587988858048738
hsa-mir-4794,1.5796336551235575
hsa-mir-6770-2,1.5720739728267934
hsa-mir-4773-2,1.5707521224215375
hsa-mir-3689e,1.561203281626293
hsa-mir-7856,1.55597770445775
hsa-mir-599,1.5515850400300537
hsa-mir-3181,1.5492390771455677
hsa-mir-3199-1,1.5415024733031748
hsa-mir-3126,1.539781383350435
hsa-mir-380,1.5393958507251864
hsa-mir-6751,1.5230408054312634
hsa-mir-449a,1.5056589683670296
hsa-mir-4765,1.5031674680447646
hsa-mir-548at,1.5028308596820612
hsa-mir-4679-1,1.50168229719352
hsa-mir-378b,1.500469471480441
hsa-mir-6848,1.499696792963845
hsa-mir-933,1.4961262183603679
hsa-mir-3131,1.4945780983703116
hsa-mir-6736,1.4900515826935798
hsa-mir-3166,1.4866192076626092
hsa-mir-3182,1.4819052238853745
hsa-mir-4729,1.4670366389860385
hsa-mir-6862-2,1.464049854280436
hsa-mir-6862-1,1.4533885512079552
hsa-mir-675,1.4491240705264032
hsa-mir-4439,1.4426659559791335
hsa-mir-4446,1.440890862157719
hsa-mir-4421,1.44036168113113
hsa-mir-516a-1,1.4373860538694134
hsa-mir-544a,1.4266777099125856
hsa-mir-4675,1.4248715853435756
hsa-mir-4733,1.4224656172248489
