Feature,Score,p_value,selection_frequency
hsa-mir-571,71.19097745683115,1.2720471699507e-14,0.68
hsa-mir-4663,38.3567040932429,9.458738717521004e-08,0.43
hsa-mir-3973,34.193548387096754,6.800901374340507e-07,0.41
hsa-mir-8082,34.193548387096754,6.800901374340507e-07,0.48
hsa-mir-451b,18.50816871353489,0.0009815199124088411,0.26
hsa-mir-4300,18.0289382106204,0.0012181302868577932,0.28
hsa-mir-631,13.97939993169274,0.007361093690845567,0.19
hsa-mir-1253,12.856372527064678,0.011999329035204627,0.2
hsa-mir-6071,11.121702370484675,0.025229764844210925,0.21
hsa-mir-4460,10.296171624566984,0.03572355410338407,0.01
hsa-mir-3907,9.154019886605338,0.057362920828720555,0.23
hsa-mir-4468,9.1384784754613,0.05772985767809572,0.15
hsa-mir-591,9.049967247223655,0.05986260015297041,0.14
hsa-mir-3683,8.787023691243544,0.06664900744518733,0.11
hsa-mir-1282,7.9412078689302055,0.09375572158535676,0.12
hsa-mir-891a,7.921378362228949,0.09450103404901829,0.16
hsa-mir-936,7.7398972531396275,0.10158440614015712,0.06
hsa-mir-6719,7.738202091973041,0.10165284856062191,0.02
hsa-mir-4508,7.683884048709157,0.10386885975677773,0.0
hsa-mir-575,7.672772249196821,0.10432770218472762,0.08
hsa-mir-548c,7.368835878038257,0.11763410579300321,0.0
hsa-mir-4450,6.463761966667059,0.16708804127761231,0.04
hsa-mir-6835,6.189887377698822,0.18540906684062713,0.01
hsa-mir-4488,5.719941846198406,0.22106217713618817,0.0
hsa-mir-1272,5.453687255215568,0.2438305006308041,0.05
hsa-mir-647,5.249451247903535,0.26264629748268425,0.05
hsa-mir-367,5.234285714285734,0.26409182643136697,0.0
hsa-mir-6083,5.234285714285734,0.26409182643136697,0.01
hsa-mir-6127,5.234285714285734,0.26409182643136697,0.0
hsa-mir-3972,5.234285714285734,0.26409182643136697,0.0
hsa-mir-921,5.234285714285734,0.26409182643136697,0.0
hsa-mir-4264,5.234285714285734,0.26409182643136697,0.01
hsa-mir-1299,5.234285714285734,0.26409182643136697,0.0
hsa-mir-4418,5.234285714285734,0.26409182643136697,0.0
hsa-mir-6090,5.234285714285734,0.26409182643136697,0.0
hsa-mir-4302,5.234285714285734,0.26409182643136697,0.01
hsa-mir-1972-1,5.234285714285734,0.26409182643136697,0.0
hsa-mir-4440,5.2342857142857335,0.26409182643136714,0.0
hsa-mir-3665,5.2342857142857335,0.26409182643136714,0.0
hsa-mir-3686,5.106335274384411,0.2765598185697029,0.0
hsa-mir-1539,5.019428685987438,0.2853097939956973,0.0
subtype,4.899228318442607,0.2977944569194238,0.0
hsa-mir-4776-2,4.676144238371229,0.3221691088057217,0.0
hsa-mir-661,4.655281712004372,0.3245300137785631,0.0
hsa-mir-888,4.513682231576536,0.3409282027238644,0.05
hsa-mir-6088,4.508029782579815,0.3415964169310179,0.02
hsa-mir-7107,4.476407880198567,0.3453540682378609,0.06
hsa-mir-6864,4.341823367946005,0.3617172173514257,0.0
hsa-mir-6077,4.198444452748607,0.37981497942639003,0.0
hsa-mir-3196,4.1071373668618865,0.3917005176918768,0.0
hsa-mir-6770-3,4.10260928122077,0.392297267771818,0.05
hsa-mir-5704,4.006648720235084,0.4051067910931316,0.01
hsa-mir-6165,4.00543334404509,0.4052710259622278,0.0
hsa-mir-3937,3.975816219315278,0.40928866234123307,0.06
hsa-mir-4735,3.948821536125456,0.4129764085377674,0.0
hsa-mir-6084,3.9357704433183054,0.41476815851003423,0.0
hsa-mir-8085,3.908381005354162,0.4185471082328752,0.02
hsa-mir-3688-1,3.874658182102212,0.42323470525961626,0.0
hsa-mir-6859-4,3.8250472350587406,0.43020059045035164,0.0
hsa-mir-578,3.823148039617299,0.43046890633748025,0.0
hsa-mir-4666b,3.811345682233939,0.43213905204805003,0.0
hsa-mir-6076,3.801402618492735,0.433549730524172,0.0
hsa-mir-890,3.7713677219184807,0.4378311483883358,0.02
hsa-mir-6841,3.7599943308715553,0.43946031773009964,0.02
hsa-mir-6889,3.74671435199076,0.4413680892786651,0.0
hsa-mir-1825,3.7276504409482376,0.44411710576261854,0.0
hsa-mir-8083,3.7196466242313444,0.44527488511213775,0.0
hsa-mir-4320,3.663696096188698,0.4534281170547406,0.0
hsa-mir-548ax,3.4598379050607075,0.48401129706622037,0.0
hsa-mir-6080,3.428149921173215,0.48888705889429707,0.0
hsa-mir-3155b,3.3678930417916604,0.49824755497055273,0.05
hsa-mir-6768,3.3441275186540143,0.5019711445524482,0.0
hsa-mir-4737,3.2919529361219233,0.5102082538097552,0.0
hsa-mir-3165,3.282214671901143,0.5117551140157499,0.0
hsa-mir-4516,3.2173359936679007,0.5221354448777789,0.0
hsa-mir-4720,3.2079106497279035,0.5236541890847608,0.0
hsa-mir-5681a,3.140405148364634,0.5346099540959863,0.01
hsa-mir-4462,3.1260295426731095,0.5369605984270023,0.0
hsa-mir-548w,3.096031060387921,0.5418854225225131,0.0
hsa-mir-4503,3.0706808726556765,0.5460675931660811,0.0
hsa-mir-4779,3.064962256394664,0.5470135951038446,0.0
hsa-mir-4471,3.0610930637800244,0.5476541896713933,0.0
hsa-mir-6765,3.010814071955222,0.5560173249535946,0.0
hsa-mir-4722,2.9355123907920406,0.5686746047740443,0.0
hsa-mir-4512,2.9264452997909274,0.5702091036048625,0.0
hsa-mir-4448,2.899533958132049,0.5747764653873702,0.0
hsa-mir-3142,2.895567300741,0.5754513050213848,0.01
hsa-mir-5700,2.8870906130567335,0.5768948139229565,0.0
hsa-mir-8079,2.882169154651115,0.5777337608027696,0.01
hsa-mir-4492,2.871360577056451,0.5795784837898688,0.0
hsa-mir-617,2.8526100422066194,0.582785847588994,0.0
hsa-mir-4428,2.837463278539202,0.5853833469077754,0.0
hsa-mir-4642,2.8327443697383754,0.5861937769765515,0.0
hsa-mir-4436a,2.7918902634460587,0.5932334082074648,0.0
hsa-mir-548as,2.787010827564027,0.5940769502907942,0.0
hsa-mir-1265,2.771531271832016,0.596756845966963,0.02
hsa-mir-323a,2.761571065651123,0.5984842657582667,0.0
hsa-mir-7849,2.6562682994612503,0.6168884922694309,0.02
hsa-mir-6831,2.641113354269293,0.6195576191000902,0.0
hsa-mir-5591,2.6267005559272234,0.6221005972719401,0.0
hsa-mir-3661,2.6211433760813696,0.6230822726248485,0.0
hsa-mir-1269b,2.612703825750894,0.6245743537964283,0.0
hsa-mir-4695,2.5974299922384585,0.6272784571480027,0.0
hsa-mir-548ak,2.5961973687803863,0.6274968911777898,0.06
hsa-mir-323b,2.584562662637588,0.6295602022168354,0.0
hsa-mir-6866,2.5768857967456498,0.6309231156408868,0.0
hsa-mir-1184-1,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-3689d-1,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-1184-3,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4535,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4317,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-5186,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4441,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-1469,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4459,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-548f-5,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-548h-5,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4276,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4278,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-2909,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-6131,2.5422077922078063,0.6370941163371575,0.0
hsa-mir-4776-1,2.536832422863001,0.6380527443482198,0.0
hsa-mir-4435-2,2.526279916622232,0.639936230643176,0.0
hsa-mir-4651,2.524180529560566,0.6403111921762595,0.0
hsa-mir-4697,2.520095134341968,0.6410410992722502,0.0
hsa-mir-4315-2,2.519936179061906,0.6410695048586501,0.0
hsa-mir-3120,2.5112901736306066,0.6426152600488748,0.0
hsa-mir-3650,2.509810305425438,0.6428799716050383,0.0
hsa-mir-6130,2.50726173237111,0.6433359410532665,0.01
hsa-mir-548ah,2.4926775294438333,0.6459474730728985,0.0
hsa-mir-302c,2.4749537177569145,0.649126263621643,0.0
hsa-mir-5196,2.4740828190798325,0.6492826012383728,0.0
hsa-mir-378j,2.458289488629607,0.6521199542051801,0.0
hsa-mir-1184-2,2.454726344442058,0.6527606732323221,0.0
hsa-mir-4504,2.451119783231469,0.6534094148062796,0.0
hsa-mir-802,2.4507700513542163,0.6534723354057765,0.0
hsa-mir-4752,2.4373747076055867,0.6558838164029294,0.0
hsa-mir-6504,2.4042248505975747,0.6618639006603577,0.02
