,Frequency
hsa-mir-4739,5
hsa-mir-425,5
hsa-mir-6507,5
hsa-mir-571,5
hsa-mir-6835,5
hsa-mir-3199-1,5
hsa-mir-4434,5
hsa-mir-3125,5
hsa-mir-597,5
hsa-mir-554,5
hsa-mir-4435-2,5
hsa-mir-7111,5
hsa-mir-3175,5
hsa-mir-5690,5
hsa-mir-2355,5
hsa-mir-6888,5
hsa-mir-3156-2,5
hsa-mir-6811,5
hsa-mir-6860,5
hsa-mir-4642,5
hsa-mir-3907,5
hsa-mir-6872,5
hsa-mir-6770-2,5
hsa-mir-4284,5
hsa-mir-7843,5
hsa-mir-181b-1,5
hsa-mir-4747,5
hsa-mir-3688-1,5
hsa-mir-4731,4
hsa-mir-3130-1,4
hsa-mir-580,4
hsa-mir-4279,4
hsa-mir-199b,4
hsa-mir-3654,4
hsa-mir-3180-1,4
hsa-mir-4764,4
hsa-mir-4674,4
hsa-mir-4418,4
hsa-mir-572,4
hsa-mir-6875,4
hsa-mir-6862-1,4
hsa-mir-5707,4
hsa-mir-6858,4
hsa-mir-3193,4
hsa-mir-4798,4
hsa-mir-711,4
hsa-mir-200b,4
hsa-mir-4491,4
hsa-mir-1185-2,4
hsa-mir-584,4
hsa-mir-548ao,4
hsa-mir-6857,4
hsa-mir-5708,4
hsa-mir-202,4
hsa-mir-2278,4
hsa-mir-595,4
hsa-mir-6823,4
hsa-mir-6769a,4
hsa-mir-4538,4
hsa-mir-137,4
hsa-mir-4496,4
hsa-mir-4512,4
hsa-mir-643,4
hsa-mir-4473,4
hsa-mir-3174,4
hsa-mir-4421,4
hsa-mir-3973,4
hsa-mir-6818,4
hsa-mir-3619,4
hsa-mir-193a,4
hsa-mir-561,4
hsa-mir-4520-1,4
hsa-mir-3960,4
hsa-mir-7705,4
hsa-mir-3920,4
hsa-mir-6510,4
hsa-mir-4463,4
hsa-mir-6080,4
hsa-mir-3606,4
hsa-mir-1204,4
hsa-mir-3617,4
hsa-mir-1825,4
hsa-mir-3660,4
hsa-mir-5590,4
hsa-mir-558,4
hsa-mir-6771,4
hsa-mir-4766,4
hsa-mir-3926-1,4
hsa-mir-4517,4
hsa-mir-6783,4
hsa-mir-4792,4
hsa-mir-5587,4
hsa-mir-2392,4
hsa-mir-1913,4
hsa-mir-6722,4
hsa-mir-4494,4
hsa-mir-373,4
hsa-mir-148b,4
hsa-mir-4479,4
hsa-mir-6839,4
hsa-mir-6768,4
hsa-mir-5700,4
hsa-mir-3686,4
hsa-mir-4645,4
hsa-mir-1286,4
hsa-mir-3975,4
hsa-mir-3911,4
hsa-mir-526a-2,4
hsa-mir-7853,4
hsa-mir-196b,4
hsa-mir-765,4
hsa-mir-4716,4
hsa-mir-548a-3,4
hsa-mir-3655,4
hsa-mir-6866,4
hsa-mir-3622b,4
hsa-mir-6516,4
hsa-mir-193b,4
hsa-mir-205,4
hsa-mir-548ab,4
hsa-mir-3683,4
hsa-mir-1224,4
hsa-mir-6851,4
hsa-mir-921,4
hsa-mir-548az,4
hsa-mir-600,4
hsa-mir-891a,4
hsa-mir-6090,4
hsa-mir-3150b,4
hsa-mir-548c,4
hsa-mir-138-1,4
hsa-mir-1236,4
hsa-mir-4675,4
hsa-mir-1181,4
hsa-mir-501,4
hsa-mir-19a,4
hsa-mir-4516,4
hsa-mir-2682,4
hsa-mir-5681a,4
hsa-mir-4721,4
hsa-mir-3197,4
hsa-mir-640,4
hsa-mir-3681,4
hsa-mir-1184-2,4
hsa-mir-6130,4
hsa-mir-3668,4
hsa-mir-1289-1,4
hsa-mir-3689a,4
hsa-mir-4802,4
hsa-mir-4310,4
hsa-mir-1292,4
hsa-mir-1273a,4
hsa-mir-6126,4
hsa-mir-3913-1,4
hsa-mir-5094,4
hsa-mir-7152,4
hsa-mir-5188,4
hsa-mir-218-1,4
hsa-mir-3680-1,4
hsa-mir-6083,4
hsa-mir-760,4
hsa-mir-575,4
hsa-mir-133a-2,4
hsa-mir-153-1,4
hsa-mir-4507,4
hsa-mir-3665,4
hsa-mir-6769b,4
hsa-mir-3143,4
hsa-mir-4302,4
hsa-mir-548ay,4
hsa-mir-6127,4
hsa-mir-8052,4
hsa-mir-548p,4
hsa-mir-3972,4
hsa-mir-4452,4
hsa-mir-549a,4
hsa-mir-4460,4
hsa-mir-663b,4
hsa-mir-6785,4
hsa-mir-3921,4
hsa-mir-6752,4
hsa-mir-5704,4
hsa-mir-3171,4
hsa-mir-4706,4
hsa-mir-3165,4
hsa-mir-320c-1,4
hsa-mir-7151,4
hsa-mir-6816,4
hsa-mir-3186,4
hsa-mir-186,4
hsa-mir-4441,4
hsa-mir-548t,4
hsa-mir-1252,4
hsa-mir-3909,4
hsa-mir-6886,4
hsa-mir-1302-3,4
hsa-mir-6817,4
hsa-mir-338,4
hsa-mir-4647,4
hsa-mir-5572,4
hsa-mir-3614,4
hsa-mir-3137,4
hsa-mir-3927,4
hsa-mir-7847,4
hsa-mir-3661,4
hsa-mir-6125,4
hsa-mir-6792,4
hsa-mir-1305,4
hsa-mir-548ah,4
hsa-mir-3158-2,4
hsa-mir-3187,4
