,log2_fold_change,absolute_fold_change,regulation
hsa-mir-518f,15.47999284784687,15.47999284784687,upregulated
stage,14.609698181084322,14.609698181084322,upregulated
subtype,13.808020873738018,13.808020873738018,upregulated
hsa-mir-520e,13.29078018537088,13.29078018537088,upregulated
hsa-mir-520d,13.16662920155475,13.16662920155475,upregulated
hsa-mir-1283-2,12.642423363296501,12.642423363296501,upregulated
hsa-mir-520h,12.495451198051637,12.495451198051637,upregulated
hsa-mir-523,12.272183123964822,12.272183123964822,upregulated
hsa-mir-519d,12.218065438388374,12.218065438388374,upregulated
hsa-mir-515-2,11.849783603309483,11.849783603309483,upregulated
hsa-mir-524,11.839949307441602,11.839949307441602,upregulated
hsa-mir-521-2,11.52188300813453,11.52188300813453,upregulated
hsa-mir-3927,11.083626379432914,11.083626379432914,upregulated
hsa-mir-448,11.072227651267761,11.072227651267761,upregulated
hsa-mir-4487,10.085220898640948,10.085220898640948,upregulated
hsa-mir-526a-2,9.781698744114546,9.781698744114546,upregulated
hsa-mir-4678,9.56845353817734,9.56845353817734,upregulated
hsa-mir-519e,9.539787433501186,9.539787433501186,upregulated
hsa-mir-3689b,9.42496052586756,9.42496052586756,upregulated
hsa-mir-518d,9.294708463551235,9.294708463551235,upregulated
hsa-mir-5589,9.247104241797413,9.247104241797413,upregulated
hsa-mir-3125,9.059559299588901,9.059559299588901,upregulated
hsa-mir-1264,9.041275970860495,9.041275970860495,upregulated
hsa-mir-3688-1,9.017496079387513,9.017496079387513,upregulated
hsa-mir-4651,8.959900182884104,8.959900182884104,upregulated
hsa-mir-3688-2,8.933073332580305,8.933073332580305,upregulated
hsa-mir-1303,8.883408210648449,8.883408210648449,upregulated
hsa-mir-4436b-2,8.841760018267903,8.841760018267903,upregulated
hsa-mir-4739,8.777763175399654,8.777763175399654,upregulated
hsa-mir-520a,8.776809385972905,8.776809385972905,upregulated
hsa-mir-4735,8.770899028313343,8.770899028313343,upregulated
hsa-mir-3929,8.70486778753717,8.70486778753717,upregulated
hsa-mir-4505,8.688380551993623,8.688380551993623,upregulated
hsa-mir-4512,8.61660913727428,8.61660913727428,upregulated
hsa-mir-6811,8.612042343711378,8.612042343711378,upregulated
hsa-mir-4466,8.591946270300841,8.591946270300841,upregulated
hsa-mir-4653,8.58884599629474,8.58884599629474,upregulated
hsa-mir-3938,8.535482349671973,8.535482349671973,upregulated
hsa-mir-1285-1,8.527030227554267,8.527030227554267,upregulated
hsa-mir-4451,8.510423147815981,8.510423147815981,upregulated
hsa-mir-4701,8.476813027643331,8.476813027643331,upregulated
hsa-mir-510,8.459762348509177,8.459762348509177,upregulated
hsa-mir-3132,8.459057870802258,8.459057870802258,upregulated
hsa-mir-2117,8.400763681809403,8.400763681809403,upregulated
hsa-mir-890,8.353240611910623,8.353240611910623,upregulated
hsa-mir-3133,8.319288669424909,8.319288669424909,upregulated
hsa-mir-4679-1,8.31355741835638,8.31355741835638,upregulated
hsa-mir-3659,8.297563153485948,8.297563153485948,upregulated
hsa-mir-6785,8.117206091341671,8.117206091341671,upregulated
hsa-mir-499b,8.07003740181839,8.07003740181839,upregulated
hsa-mir-4776-2,7.978936436639313,7.978936436639313,upregulated
hsa-mir-4671,7.934490715652791,7.934490715652791,upregulated
hsa-mir-7151,7.871086555229704,7.871086555229704,upregulated
hsa-mir-6791,7.8561211994430495,7.8561211994430495,upregulated
hsa-mir-4427,7.829628545038855,7.829628545038855,upregulated
hsa-mir-4776-1,7.82828405538501,7.82828405538501,upregulated
hsa-mir-4498,7.8259653876604265,7.8259653876604265,upregulated
hsa-mir-6862-1,7.808878821981006,7.808878821981006,upregulated
hsa-mir-4425,7.7556530127213,7.7556530127213,upregulated
hsa-mir-4520-1,7.711566280804599,7.711566280804599,upregulated
hsa-mir-3658,7.709448746832224,7.709448746832224,upregulated
