Feature,Diagnosis_Importance,Stage_Importance,Subtype_Importance,Overall_Importance
hsa-mir-4656,0.45830683890396695,0.5210654600361002,0.48743104069121096,1.466803339631278
hsa-mir-29c,0.3410333576827029,0.6206513188103168,0.47038654976744254,1.432071226260462
hsa-mir-4458,0.4091778991314451,0.46509867434351365,0.5008942565485629,1.3751708300235217
hsa-mir-218-1,0.4041701046087226,0.430642861503978,0.5257073749642776,1.3605203410769782
hsa-mir-93,0.41433172743715957,0.42269760351750996,0.5145268306084878,1.3515561615631573
hsa-mir-195,0.34400071681487165,0.588904466372382,0.41108056512233093,1.3439857483095845
hsa-mir-218-2,0.3977888307991432,0.41211463461904785,0.5248685432290281,1.334772008647219
hsa-mir-30c-1,0.41226780073286956,0.43885716115298984,0.48120110678587213,1.3323260686717315
hsa-mir-7160,0.4081597868069321,0.5291175956426835,0.3915427680321313,1.328820150481747
hsa-mir-103a-1,0.40446614182382884,0.417758968594227,0.49522225091008126,1.317447361328137
hsa-mir-103a-2,0.4050050997611543,0.417481089649252,0.49302032637139565,1.315506515781802
hsa-mir-148b,0.4076315086100383,0.4671325525976929,0.4303708299119658,1.305134891119697
hsa-mir-4256,0.4312254144829119,0.43178593748062194,0.4303952248434134,1.2934065768069472
hsa-mir-30c-2,0.3970443279148111,0.4271635305066348,0.46482426816347344,1.2890321265849192
hsa-mir-3154,0.426079468451055,0.44843712947550185,0.41149566946311655,1.2860122673896734
hsa-mir-497,0.3232544401344426,0.5670802442790209,0.39226158159808744,1.2825962660115509
hsa-mir-652,0.3842193337487315,0.4458040899840634,0.4475722730787335,1.2775956968115283
hsa-mir-6745,0.4098653274437849,0.4532690298625118,0.4114855804842084,1.274619937790505
hsa-mir-26a-2,0.33783241467679104,0.48311799016662377,0.4533945440013515,1.2743449488447665
hsa-mir-26a-1,0.3344492301165477,0.47428018930147925,0.4521634800599903,1.2608928994780173
hsa-mir-199b,0.4096164813173277,0.439743529678255,0.40748870363955964,1.2568487146351424
hsa-mir-4701,0.41009757572449457,0.4217802866016922,0.41983470688227065,1.2517125692084574
hsa-mir-23a,0.39982525844340594,0.4647033818490281,0.3840786276622585,1.2486072679546925
hsa-mir-4467,0.4068995438429607,0.4307012105882189,0.409021857654483,1.2466226120856627
hsa-mir-374b,0.3620435484448297,0.5156768024514434,0.362797371924565,1.2405177228208382
hsa-mir-101-2,0.3739678059442998,0.43900120572537776,0.41543765423597945,1.228406665905657
hsa-mir-101-1,0.3735046599169767,0.4354837517483425,0.41782087570834986,1.2268092873736691
hsa-mir-6124,0.7569930013768419,0.19423874631679902,0.2732441127759795,1.2244758604696204
hsa-mir-186,0.368970232865072,0.4673515755103234,0.3867081608891943,1.2230299692645896
hsa-mir-361,0.35744142959384545,0.45069041547751754,0.4101245937380456,1.2182564388094086
hsa-mir-4715,0.4171290071332242,0.44399352960217187,0.3545429577865504,1.2156654945219465
hsa-mir-571,0.7318648156200953,0.3035746038971605,0.1776917185225903,1.2131311380398462
hsa-mir-142,0.4230730906003953,0.37873004215428463,0.4081688306528019,1.209971963407482
hsa-mir-486-2,0.39189836929090277,0.42807562344468364,0.389276561371406,1.2092505541069924
hsa-mir-486-1,0.39201696440157346,0.4283456842494608,0.3882625089477627,1.208625157598797
hsa-mir-4668,0.37167358551052043,0.4368372667029131,0.3932669402761695,1.2017777924896031
hsa-mir-302b,0.10669590007144057,0.8656817617971021,0.22933320537893181,1.2017108672474746
hsa-mir-16-1,0.40622119429273734,0.4185602713272961,0.3723988574163282,1.1971803230363616
hsa-mir-4644,0.3981404150971013,0.4129424052140723,0.3812696380082063,1.1923524583193799
hsa-mir-6753,0.35477232600448044,0.4373267465246492,0.39919948585196463,1.1912985583810944
hsa-mir-20a,0.3721048461355977,0.3564536642358054,0.4590341535098522,1.1875926638812553
hsa-mir-140,0.3578487367996806,0.4755503742218792,0.35301681430830234,1.186415925329862
hsa-mir-16-2,0.41054818067836507,0.4113588786536051,0.362917219741834,1.1848242790738042
hsa-mir-199a-2,0.3860815563158428,0.4175600191126722,0.38090196415232863,1.1845435395808437
hsa-mir-502,0.32478981362554515,0.48424476795218807,0.3749392934368793,1.1839738750146125
hsa-mir-346,0.37674757233224315,0.37268184363823303,0.42751109291354805,1.1769405088840244
hsa-mir-628,0.3715796672782145,0.396116342302729,0.4074657663327476,1.1751617759136912
hsa-mir-107,0.3905190555946282,0.4594333856825182,0.32201367308375206,1.1719661143608984
hsa-mir-342,0.37127070788895594,0.36344323736101003,0.43692984542622054,1.1716437906761865
hsa-mir-26b,0.3735480868155442,0.40609836899178453,0.3914387261860121,1.1710851819933408
hsa-mir-191,0.4020024819666695,0.35778800888906165,0.4094087418673337,1.169199232723065
hsa-mir-3612,0.37539404960100275,0.42899848962887865,0.36261345325454214,1.1670059924844236
hsa-mir-126,0.3125651126208705,0.412340649656133,0.438712841428103,1.1636186037051064
hsa-mir-29a,0.2549929823922756,0.49423421446621485,0.41132646405015394,1.1605536609086444
hsa-mir-152,0.387207657097775,0.3890143358929884,0.38259869044231554,1.158820683433079
hsa-mir-6802,0.38263530460497674,0.39903680003447056,0.3747858020144999,1.156457906653947
hsa-mir-128-2,0.33654616831035256,0.49682708386179264,0.32308094137601157,1.1564541935481567
hsa-mir-33b,0.39816216369139196,0.4176776719190644,0.3395212445764681,1.1553610801869245
hsa-mir-6812,0.35378893131261774,0.4292025826332306,0.3707379940696255,1.153729508015474
hsa-mir-19b-2,0.3631087869845232,0.35644201450671664,0.43170549583358886,1.1512562973248288
hsa-mir-500b,0.29678404472014164,0.3732983607739398,0.4804664779655143,1.1505488834595958
hsa-mir-302a,0.09280958375914018,0.8510840451155185,0.20566551340823716,1.149559142282896
hsa-mir-6881,0.36454430763823875,0.4057142895725235,0.3791704694232323,1.1494290666339946
hsa-mir-605,0.3742213776709931,0.3858217945033464,0.38867901277421324,1.1487221849485527
hsa-mir-301a,0.31839534576359474,0.4484754826118292,0.37961746324021733,1.1464882916156414
hsa-mir-128-1,0.31181358994871666,0.5051577244347877,0.32770745239244536,1.1446787667759497
hsa-mir-1271,0.36677099761714343,0.34199505345999504,0.4252849765742828,1.1340510276514213
hsa-mir-30d,0.33938196115671393,0.4322992980987489,0.3605119131249438,1.1321931723804066
hsa-mir-378d-2,0.3768162016358256,0.4124509319175617,0.3370398516162528,1.1263069851696401
hsa-mir-199a-1,0.36570505589900876,0.39659509953369515,0.3639750152318711,1.126275170664575
hsa-mir-19b-1,0.35054673434707967,0.35709952219053775,0.4159693017389303,1.1236155582765477
hsa-mir-6756,0.38117618458874025,0.3813311069753501,0.3584296555417109,1.1209369471058013
hsa-mir-590,0.3796861400601042,0.336263758973488,0.40094333378492664,1.1168932328185188
hsa-mir-1277,0.3183131387656939,0.39099940427629887,0.40681618999884556,1.1161287330408383
hsa-mir-1296,0.3654029705651759,0.38513751659960566,0.36322613836824524,1.1137666255330267
hsa-mir-3130-1,0.3589708494690713,0.43374435635633274,0.32041360849191847,1.1131288143173226
hsa-mir-7109,0.3621999705829155,0.3972760238310341,0.3516425490283704,1.1111185434423199
hsa-mir-4532,0.3419897954003299,0.4491550773956532,0.3164313209506715,1.1075761937466546
hsa-mir-3607,0.38806664104702887,0.38927185413696663,0.32951026397443717,1.1068487591584326
hsa-mir-944,0.32144311903053424,0.3709403752199176,0.4142877098088899,1.1066712040593418
hsa-mir-205,0.3313937453622979,0.3991077225826691,0.37270204035056415,1.1032035082955312
hsa-mir-647,0.36421845665568015,0.3426015360749865,0.3941649971132637,1.1009849898439303
