,Frequency
hsa-mir-6811,6
hsa-mir-3688-1,6
hsa-mir-5690,6
hsa-mir-6080,5
hsa-mir-571,5
hsa-mir-1302-3,5
hsa-mir-1268b,5
hsa-mir-6872,5
hsa-mir-1204,5
hsa-mir-5587,5
hsa-mir-6126,5
hsa-mir-4512,5
hsa-mir-548ak,5
hsa-mir-4504,5
hsa-mir-4487,5
hsa-mir-5011,5
hsa-mir-3121,5
hsa-mir-4764,5
hsa-mir-4435-2,5
hsa-mir-5192,5
hsa-mir-3125,5
hsa-mir-6090,5
hsa-mir-4264,5
hsa-mir-4642,5
hsa-mir-5704,5
hsa-mir-4436a,5
hsa-mir-3120,5
hsa-mir-3141,4
hsa-mir-202,4
hsa-mir-4327,4
hsa-mir-4538,4
hsa-mir-548c,4
hsa-mir-378g,4
hsa-mir-4276,4
hsa-mir-6768,4
hsa-mir-4802,4
hsa-mir-3907,4
hsa-mir-4747,4
hsa-mir-4731,4
hsa-mir-5703,4
hsa-mir-3175,4
hsa-mir-4462,4
hsa-mir-7847,4
hsa-mir-4679-1,4
hsa-mir-6081,4
hsa-mir-4503,4
hsa-mir-6835,4
hsa-mir-3668,4
hsa-mir-718,4
hsa-mir-4427,4
hsa-mir-4520-1,4
hsa-mir-7843,4
hsa-mir-3165,4
hsa-mir-4733,4
hsa-mir-7111,4
hsa-mir-591,4
hsa-mir-4260,4
hsa-mir-6722,4
hsa-mir-3149,4
hsa-mir-3199-1,4
hsa-mir-4752,4
hsa-mir-4284,4
hsa-mir-187,4
hsa-mir-548as,4
hsa-mir-4516,4
hsa-mir-5591,4
hsa-mir-302c,4
hsa-mir-4692,4
hsa-mir-7107,4
hsa-mir-451b,4
hsa-mir-4520-2,4
hsa-mir-661,4
hsa-mir-6862-1,4
hsa-mir-640,4
hsa-mir-372,4
hsa-mir-4508,4
hsa-mir-8083,4
hsa-mir-8052,4
hsa-mir-2114,4
hsa-mir-941-1,4
hsa-mir-4675,4
hsa-mir-4678,4
hsa-mir-4460,4
hsa-mir-4279,4
hsa-mir-7853,4
hsa-mir-548h-5,4
hsa-mir-1184-2,4
hsa-mir-367,4
hsa-mir-3927,4
hsa-mir-3973,4
hsa-mir-5572,4
hsa-mir-378e,4
hsa-mir-606,4
hsa-mir-5583-1,4
hsa-mir-3688-2,4
hsa-mir-3658,4
hsa-mir-668,4
hsa-mir-4737,4
hsa-mir-3665,4
hsa-mir-6127,4
hsa-mir-4432,4
hsa-mir-6873,4
hsa-mir-6130,4
hsa-mir-1281,4
hsa-mir-617,4
hsa-mir-4698,4
hsa-mir-6719,4
hsa-mir-593,4
hsa-mir-4440,4
hsa-mir-630,4
hsa-mir-572,4
hsa-mir-3197,4
hsa-mir-4694,4
hsa-mir-7158,4
hsa-mir-4321,4
hsa-mir-7973-1,4
hsa-mir-4263,4
hsa-mir-5692c-2,4
hsa-mir-4322,4
hsa-mir-6770-2,4
hsa-mir-3686,4
hsa-mir-6785,4
hsa-mir-4526,4
hsa-mir-5190,4
hsa-mir-4666b,4
hsa-mir-8066,4
hsa-mir-4471,4
hsa-mir-6740,4
hsa-mir-4315-2,4
hsa-mir-6077,3
hsa-mir-7856,3
hsa-mir-6874,3
hsa-mir-548ah,3
hsa-mir-548t,3
hsa-mir-4510,3
hsa-mir-4441,3
hsa-mir-3146,3
hsa-mir-4452,3
