fold_change,chi_squared,information_gain,lasso,nca,rfe,count
0,0,1,0,0,0,206
0,0,0,1,0,0,122
1,0,0,0,0,0,87
0,0,0,0,1,0,68
1,1,0,0,0,0,59
1,1,0,1,1,0,56
0,1,0,0,0,0,54
1,1,0,0,1,0,49
0,0,0,1,1,0,46
1,0,1,0,0,0,46
0,0,1,1,0,0,45
0,1,0,1,1,0,44
0,1,0,0,1,0,41
1,0,0,0,1,0,36
1,1,0,1,0,0,35
0,0,1,0,1,0,30
0,1,0,1,0,0,29
1,1,1,0,0,0,25
1,1,1,1,1,0,19
0,1,1,0,0,0,18
1,0,1,0,1,0,17
1,0,0,1,1,0,16
0,0,1,1,1,0,14
0,1,1,0,1,0,13
1,0,0,1,0,0,12
0,1,1,1,1,0,11
0,0,0,0,0,1,11
1,1,1,0,1,0,10
1,0,1,1,1,0,8
1,1,1,1,0,0,8
0,1,1,1,0,0,7
0,1,0,1,1,1,7
1,0,1,1,0,0,7
0,0,1,0,0,1,5
0,0,0,1,0,1,4
0,1,0,0,0,1,3
1,1,1,1,1,1,3
0,1,1,1,1,1,2
0,0,1,0,1,1,2
1,0,0,0,0,1,2
0,1,0,0,1,1,2
0,0,0,0,1,1,1
0,0,1,1,0,1,1
0,0,0,1,1,1,1
1,0,0,1,0,1,1
0,1,1,0,1,1,1
1,1,0,0,1,1,1
1,1,0,1,1,1,1
1,1,1,0,1,1,1
1,1,1,1,0,1,1
