Fold-Change,Chi-Squared,Information Gain
hsa-mir-1182,hsa-mir-1178,hsa-let-7a-1
hsa-mir-1184-2,hsa-mir-1184-1,hsa-let-7a-2
hsa-mir-1193,hsa-mir-1184-2,hsa-let-7a-3
hsa-mir-1199,hsa-mir-1184-3,hsa-mir-103a-1
hsa-mir-1203,hsa-mir-1193,hsa-mir-103a-2
hsa-mir-1204,hsa-mir-1204,hsa-mir-105-1
hsa-mir-1207,hsa-mir-1207,hsa-mir-105-2
hsa-mir-1244-1,hsa-mir-1244-1,hsa-mir-10a
hsa-mir-1244-2,hsa-mir-1253,hsa-mir-1193
hsa-mir-1253,hsa-mir-1264,hsa-mir-1197
hsa-mir-1260a,hsa-mir-1265,hsa-mir-1203
hsa-mir-1263,hsa-mir-1267,hsa-mir-1204
hsa-mir-1264,hsa-mir-1268b,hsa-mir-1244-1
hsa-mir-1268b,hsa-mir-1269a,hsa-mir-1249
hsa-mir-1269a,hsa-mir-1269b,hsa-mir-1250
hsa-mir-1269b,hsa-mir-1272,hsa-mir-1255b-1
hsa-mir-1272,hsa-mir-1278,hsa-mir-1255b-2
hsa-mir-1281,hsa-mir-1281,hsa-mir-1261
hsa-mir-1283-1,hsa-mir-1282,hsa-mir-1262
hsa-mir-1283-2,hsa-mir-1283-2,hsa-mir-1264
hsa-mir-1285-1,hsa-mir-1285-1,hsa-mir-1268b
hsa-mir-1285-2,hsa-mir-1285-2,hsa-mir-127
hsa-mir-1290,hsa-mir-1289-1,hsa-mir-1271
hsa-mir-1293,hsa-mir-1289-2,hsa-mir-1273a
hsa-mir-1297,hsa-mir-1297,hsa-mir-1273c
hsa-mir-1298,hsa-mir-1298,hsa-mir-1273d
hsa-mir-1299,hsa-mir-1299,hsa-mir-1273f
hsa-mir-1302-3,hsa-mir-1302-3,hsa-mir-1273g
hsa-mir-1303,hsa-mir-135a-1,hsa-mir-1278
hsa-mir-1304,hsa-mir-137,hsa-mir-1279
hsa-mir-1305,hsa-mir-1469,hsa-mir-1285-1
hsa-mir-1322,hsa-mir-147a,hsa-mir-1286
hsa-mir-1323,hsa-mir-147b,hsa-mir-1288
hsa-mir-1469,hsa-mir-1539,hsa-mir-1290
hsa-mir-147a,hsa-mir-1825,hsa-mir-1293
hsa-mir-1587,hsa-mir-1827,hsa-mir-1295b
hsa-mir-1825,hsa-mir-187,hsa-mir-1302-3
hsa-mir-1908,hsa-mir-1912,hsa-mir-1302-7
hsa-mir-1911,hsa-mir-1914,hsa-mir-1302-8
hsa-mir-1912,hsa-mir-1972-1,hsa-mir-1303
hsa-mir-192,hsa-mir-202,hsa-mir-1304
hsa-mir-194-1,hsa-mir-2113,hsa-mir-130a
hsa-mir-194-2,hsa-mir-2467,hsa-mir-1321
hsa-mir-208a,hsa-mir-2682,hsa-mir-1323
hsa-mir-211,hsa-mir-2909,hsa-mir-133a-2
hsa-mir-2113,hsa-mir-302c,hsa-mir-134
hsa-mir-2114,hsa-mir-302d,hsa-mir-135a-2
hsa-mir-2117,hsa-mir-31,hsa-mir-138-2
hsa-mir-215,hsa-mir-3119-2,hsa-mir-144
hsa-mir-219a-2,hsa-mir-3120,hsa-mir-145
hsa-mir-2861,hsa-mir-3121,hsa-mir-1470
hsa-mir-298,hsa-mir-3122,hsa-mir-1471
hsa-mir-302c,hsa-mir-3125,hsa-mir-148b
hsa-mir-302d,hsa-mir-3126,hsa-mir-153-1
hsa-mir-3116-2,hsa-mir-3128,hsa-mir-154
hsa-mir-3119-1,hsa-mir-3131,hsa-mir-17
hsa-mir-3119-2,hsa-mir-3132,hsa-mir-181c
hsa-mir-3120,hsa-mir-3133,hsa-mir-181d
hsa-mir-3121,hsa-mir-3139,hsa-mir-185
hsa-mir-3122,hsa-mir-3141,hsa-mir-187
hsa-mir-3125,hsa-mir-3142,hsa-mir-188
hsa-mir-3128,hsa-mir-3143,hsa-mir-1908
hsa-mir-3131,hsa-mir-3146,hsa-mir-1915
hsa-mir-3132,hsa-mir-3148,hsa-mir-192
hsa-mir-3133,hsa-mir-3149,hsa-mir-193b
hsa-mir-3135a,hsa-mir-3150b,hsa-mir-194-1
hsa-mir-3141,hsa-mir-3155b,hsa-mir-194-2
hsa-mir-3142,hsa-mir-3159,hsa-mir-195
hsa-mir-3145,hsa-mir-3162,hsa-mir-196a-1
hsa-mir-3147,hsa-mir-3165,hsa-mir-196b
hsa-mir-3148,hsa-mir-3166,hsa-mir-197
hsa-mir-3149,hsa-mir-3167,hsa-mir-1973
hsa-mir-3153,hsa-mir-3168,hsa-mir-1976
hsa-mir-3155b,hsa-mir-3175,hsa-mir-199a-1
hsa-mir-3156-1,hsa-mir-3177,hsa-mir-199a-2
hsa-mir-3156-3,hsa-mir-3180-2,hsa-mir-199b
hsa-mir-3160-1,hsa-mir-3180-4,hsa-mir-19a
hsa-mir-3160-2,hsa-mir-3180-5,hsa-mir-200c
hsa-mir-3167,hsa-mir-3181,hsa-mir-202
hsa-mir-3168,hsa-mir-3182,hsa-mir-203b
hsa-mir-3177,hsa-mir-3184,hsa-mir-2052
hsa-mir-3180-1,hsa-mir-3185,hsa-mir-21
hsa-mir-3180-2,hsa-mir-3186,hsa-mir-211
hsa-mir-3180-3,hsa-mir-3196,hsa-mir-2113
hsa-mir-3180-5,hsa-mir-3197,hsa-mir-2114
hsa-mir-3184,hsa-mir-3199-1,hsa-mir-216a
hsa-mir-3185,hsa-mir-3202-1,hsa-mir-217
hsa-mir-3197,hsa-mir-323a,hsa-mir-219a-1
hsa-mir-3529,hsa-mir-323b,hsa-mir-224
hsa-mir-3591,hsa-mir-329-1,hsa-mir-2355
hsa-mir-3612,hsa-mir-329-2,hsa-mir-23a
hsa-mir-3621,hsa-mir-3606,hsa-mir-23b
hsa-mir-3649,hsa-mir-3622b,hsa-mir-23c
hsa-mir-3657,hsa-mir-3650,hsa-mir-2681
hsa-mir-3658,hsa-mir-3657,hsa-mir-26a-1
hsa-mir-3659,hsa-mir-3658,hsa-mir-26a-2
hsa-mir-3662,hsa-mir-3661,hsa-mir-27b
hsa-mir-3663,hsa-mir-3665,hsa-mir-28
hsa-mir-3665,hsa-mir-3668,hsa-mir-299
hsa-mir-3668,hsa-mir-367,hsa-mir-29b-1
hsa-mir-367,hsa-mir-3680-1,hsa-mir-302c
