,hsa-mir-202,hsa-mir-4802,hsa-mir-466,hsa-mir-6718,hsa-mir-410,hsa-mir-329-2,hsa-mir-5690,hsa-mir-4492,hsa-mir-770,hsa-mir-3150b
hsa-mir-202,1.0,-0.021706573534693175,-0.0027154657822478483,0.0010102493436571652,0.0018632984394943563,0.004742258184914707,0.03475921160979649,0.0513497765700249,-0.014380525583468104,0.016204227159190752
hsa-mir-4802,-0.021706573534693175,1.0,0.09316140993468518,-0.020562497970172722,0.047004065218374275,0.025216766515915447,0.050307805671685996,0.03737531667172687,0.039095318145874844,0.06397966857465043
hsa-mir-466,-0.0027154657822478483,0.09316140993468518,1.0,-0.017940016710593074,-0.05640259432327749,-0.05020741482740767,0.1185232311585367,-0.008540427048261726,-0.046908815634335056,0.005060251454148264
hsa-mir-6718,0.0010102493436571652,-0.020562497970172722,-0.017940016710593074,1.0,-0.015795090800092875,-0.016721686818565226,0.007825252991866833,0.04993595501179154,-0.010156937215484968,-0.0005459720792262816
hsa-mir-410,0.0018632984394943563,0.047004065218374275,-0.05640259432327749,-0.015795090800092875,1.0,0.851339697273763,-0.05834193184297613,0.062419202088498035,0.7339869468767394,-0.006130835927793787
hsa-mir-329-2,0.004742258184914707,0.025216766515915447,-0.05020741482740767,-0.016721686818565226,0.851339697273763,1.0,-0.02446971663288773,0.005523207988461939,0.814863737939749,0.0024951760734596685
hsa-mir-5690,0.03475921160979649,0.050307805671685996,0.1185232311585367,0.007825252991866833,-0.05834193184297613,-0.02446971663288773,1.0,0.02874937574022338,-0.018532312576308975,0.12177481662360186
hsa-mir-4492,0.0513497765700249,0.03737531667172687,-0.008540427048261726,0.04993595501179154,0.062419202088498035,0.005523207988461939,0.02874937574022338,1.0,0.03604055391200605,-0.021349634415881204
hsa-mir-770,-0.014380525583468104,0.039095318145874844,-0.046908815634335056,-0.010156937215484968,0.7339869468767394,0.814863737939749,-0.018532312576308975,0.03604055391200605,1.0,0.009293442613093917
hsa-mir-3150b,0.016204227159190752,0.06397966857465043,0.005060251454148264,-0.0005459720792262816,-0.006130835927793787,0.0024951760734596685,0.12177481662360186,-0.021349634415881204,0.009293442613093917,1.0
