,hsa-mir-3941,hsa-mir-187,hsa-mir-202,hsa-mir-3150b,hsa-mir-4461,hsa-mir-539,hsa-mir-496,hsa-mir-329-2,hsa-mir-135a-1,hsa-mir-410
hsa-mir-3941,1.0,0.07422326879331796,-0.01445157143204419,0.10500599707616634,0.10240805370922637,0.08720677552418725,0.04687664489233679,0.03293516722755049,-0.03976878509443311,0.0342631426461768
hsa-mir-187,0.07422326879331796,1.0,-0.01691543254510433,0.09997818519160179,0.007283370113138913,0.08502939351198927,0.07213962465937648,0.05849570018876108,-0.02306420535640968,0.053996491063112384
hsa-mir-202,-0.01445157143204419,-0.01691543254510433,1.0,0.016760602425042438,-0.012289582459480917,0.004367342226116741,-0.0033325632621256335,0.003690003492535531,0.018969398858584088,0.0009871655722568742
hsa-mir-3150b,0.10500599707616634,0.09997818519160179,0.016760602425042438,1.0,-0.00840949462200729,0.008232798268216594,0.0007248353980481334,-0.01064742580038192,-0.008535912196514756,-0.004061026296799195
hsa-mir-4461,0.10240805370922637,0.007283370113138913,-0.012289582459480917,-0.00840949462200729,1.0,-0.016103141147618436,-0.008186192092068114,-0.0059932905030192106,-0.006062828521502829,-0.013414761566961744
hsa-mir-539,0.08720677552418725,0.08502939351198927,0.004367342226116741,0.008232798268216594,-0.016103141147618436,1.0,0.833557090290589,0.8036749576409675,0.06117972396632689,0.7801995042688132
hsa-mir-496,0.04687664489233679,0.07213962465937648,-0.0033325632621256335,0.0007248353980481334,-0.008186192092068114,0.833557090290589,1.0,0.8701652697864218,0.08905724862804432,0.8958794581815112
hsa-mir-329-2,0.03293516722755049,0.05849570018876108,0.003690003492535531,-0.01064742580038192,-0.0059932905030192106,0.8036749576409675,0.8701652697864218,1.0,0.10335987075274083,0.8379330634900817
hsa-mir-135a-1,-0.03976878509443311,-0.02306420535640968,0.018969398858584088,-0.008535912196514756,-0.006062828521502829,0.06117972396632689,0.08905724862804432,0.10335987075274083,1.0,0.07964714549793778
hsa-mir-410,0.0342631426461768,0.053996491063112384,0.0009871655722568742,-0.004061026296799195,-0.013414761566961744,0.7801995042688132,0.8958794581815112,0.8379330634900817,0.07964714549793778,1.0
