,hsa-mir-3655,hsa-mir-1270,hsa-mir-185,hsa-mir-4802,hsa-mir-200c,hsa-mir-6720,hsa-mir-125b-2,hsa-mir-1258,hsa-mir-3124,hsa-mir-374b
hsa-mir-3655,1.0,0.05987231522267269,-0.001117727766707741,-0.048458972111683436,0.026146208082317535,0.014395563442592242,-0.0020655084845182525,0.05823436862126837,0.045481686128390784,0.028811327010958277
hsa-mir-1270,0.05987231522267269,1.0,0.1363320630125871,0.055095808277284865,0.09213704169153207,0.047110145310429646,0.0950704831466561,0.04804666770259269,-0.013999741944671108,0.04073084835777727
hsa-mir-185,-0.001117727766707741,0.1363320630125871,1.0,0.12546860002098867,0.09349403247723781,0.1706020486029449,-0.0677543052797066,-0.030908201080892945,-0.03186096800869983,0.22077888014346284
hsa-mir-4802,-0.048458972111683436,0.055095808277284865,0.12546860002098867,1.0,0.013465587223186595,-0.02601760285626768,-0.06602894416060452,-0.07591187312592543,0.04589720674691749,0.17663967057665467
hsa-mir-200c,0.026146208082317535,0.09213704169153207,0.09349403247723781,0.013465587223186595,1.0,0.2072602280362562,0.0034434073675583656,-0.16227345622104905,0.07139447836304923,0.011603905477099496
hsa-mir-6720,0.014395563442592242,0.047110145310429646,0.1706020486029449,-0.02601760285626768,0.2072602280362562,1.0,0.10771144900841424,0.05708938628814445,-0.014577734657030302,0.10866750731290319
hsa-mir-125b-2,-0.0020655084845182525,0.0950704831466561,-0.0677543052797066,-0.06602894416060452,0.0034434073675583656,0.10771144900841424,1.0,0.12363886254556669,0.014878869747723369,-0.005584592943947581
hsa-mir-1258,0.05823436862126837,0.04804666770259269,-0.030908201080892945,-0.07591187312592543,-0.16227345622104905,0.05708938628814445,0.12363886254556669,1.0,-0.02041494014290428,0.19429700745615452
hsa-mir-3124,0.045481686128390784,-0.013999741944671108,-0.03186096800869983,0.04589720674691749,0.07139447836304923,-0.014577734657030302,0.014878869747723369,-0.02041494014290428,1.0,-0.04248047605476527
hsa-mir-374b,0.028811327010958277,0.04073084835777727,0.22077888014346284,0.17663967057665467,0.011603905477099496,0.10866750731290319,-0.005584592943947581,0.19429700745615452,-0.04248047605476527,1.0
