,hsa-mir-4786,hsa-mir-202,hsa-mir-410,hsa-mir-135a-2,hsa-mir-23c,hsa-mir-1304,hsa-mir-29b-1,hsa-mir-3678,hsa-mir-26a-1,hsa-mir-193b
hsa-mir-4786,1.0,0.05606265807874439,0.05657480152068737,-0.06286694589839294,0.006880039982870098,0.10093071461241741,-0.11778776873994332,0.06273145326274297,-0.08377215613178021,0.0230701036645699
hsa-mir-202,0.05606265807874439,1.0,0.0018632984394943563,0.013599146071683754,-0.0033103339859753326,0.060361816774329335,-0.031728840610066575,0.03775603012002128,0.021285865577031354,-0.002172734946796899
hsa-mir-410,0.05657480152068737,0.0018632984394943563,1.0,0.03277141560658825,0.01575681446543041,0.045476323234340095,-0.10555333529202592,0.028844514120408726,-0.0696813859541071,-0.04220434663157892
hsa-mir-135a-2,-0.06286694589839294,0.013599146071683754,0.03277141560658825,1.0,0.09324987631249293,-0.04648067620867397,0.0933528850062377,-0.008282901726386713,0.20812094219769095,-0.05737562723930156
hsa-mir-23c,0.006880039982870098,-0.0033103339859753326,0.01575681446543041,0.09324987631249293,1.0,0.02764692942063442,0.12214857533193328,-0.0003270164106691207,0.07892157101426228,-0.03210230679776017
hsa-mir-1304,0.10093071461241741,0.060361816774329335,0.045476323234340095,-0.04648067620867397,0.02764692942063442,1.0,-0.005450722237998154,0.004182633928879783,-0.028020613938264712,0.09773677173077229
hsa-mir-29b-1,-0.11778776873994332,-0.031728840610066575,-0.10555333529202592,0.0933528850062377,0.12214857533193328,-0.005450722237998154,1.0,-0.0029649458905984423,0.17187983373969257,0.0879071507622903
hsa-mir-3678,0.06273145326274297,0.03775603012002128,0.028844514120408726,-0.008282901726386713,-0.0003270164106691207,0.004182633928879783,-0.0029649458905984423,1.0,-0.015130416098496708,0.01632854686176941
hsa-mir-26a-1,-0.08377215613178021,0.021285865577031354,-0.0696813859541071,0.20812094219769095,0.07892157101426228,-0.028020613938264712,0.17187983373969257,-0.015130416098496708,1.0,-0.2308689578071703
hsa-mir-193b,0.0230701036645699,-0.002172734946796899,-0.04220434663157892,-0.05737562723930156,-0.03210230679776017,0.09773677173077229,0.0879071507622903,0.01632854686176941,-0.2308689578071703,1.0
