,hsa-mir-185,hsa-mir-23c,hsa-mir-10a,hsa-mir-187,hsa-mir-30b,hsa-mir-135a-2,hsa-mir-3124,hsa-mir-202,hsa-mir-4691,hsa-mir-4786
hsa-mir-185,1.0,-0.014274512345052906,-0.1160709040874317,0.045092217715235965,0.0744979713703202,-0.004560218998713982,-0.030598469752793303,0.02453475073367317,0.17592479881117384,0.1827740652057246
hsa-mir-23c,-0.014274512345052906,1.0,-0.020503838077291666,0.0162544380406497,0.12732592462515013,0.10226427084470431,-0.013142483304389075,-0.006773336724808936,-0.0037209257921302086,-0.00795075811399001
hsa-mir-10a,-0.1160709040874317,-0.020503838077291666,1.0,0.05203775409043586,-0.06015781752546052,0.019789674920064726,-0.02255400632094794,-0.02561094461888823,-0.024151665086607953,-0.04565494389905628
hsa-mir-187,0.045092217715235965,0.0162544380406497,0.05203775409043586,1.0,0.15891691434891062,-0.01694208647131659,-0.020222980556012144,-0.01691543254510433,0.12283195296187817,0.01832408843215055
hsa-mir-30b,0.0744979713703202,0.12732592462515013,-0.06015781752546052,0.15891691434891062,1.0,0.21152232161182635,-0.005902161573842722,0.017139974421270507,-0.023413482850023107,-0.09973981876536141
hsa-mir-135a-2,-0.004560218998713982,0.10226427084470431,0.019789674920064726,-0.01694208647131659,0.21152232161182635,1.0,-0.0127656880517327,0.011358005451114695,-0.008423453652631478,-0.045879598526970204
hsa-mir-3124,-0.030598469752793303,-0.013142483304389075,-0.02255400632094794,-0.020222980556012144,-0.005902161573842722,-0.0127656880517327,1.0,0.0005195231730427138,-0.00645309896530814,0.003758567053969619
hsa-mir-202,0.02453475073367317,-0.006773336724808936,-0.02561094461888823,-0.01691543254510433,0.017139974421270507,0.011358005451114695,0.0005195231730427138,1.0,-0.029389887416043488,0.058724634734724813
hsa-mir-4691,0.17592479881117384,-0.0037209257921302086,-0.024151665086607953,0.12283195296187817,-0.023413482850023107,-0.008423453652631478,-0.00645309896530814,-0.029389887416043488,1.0,0.10065964596647753
hsa-mir-4786,0.1827740652057246,-0.00795075811399001,-0.04565494389905628,0.01832408843215055,-0.09973981876536141,-0.045879598526970204,0.003758567053969619,0.058724634734724813,0.10065964596647753,1.0
