,hsa-mir-23c,hsa-mir-1304,hsa-mir-202,hsa-mir-185,hsa-mir-3124,hsa-mir-501,hsa-mir-193b,hsa-mir-4691,hsa-mir-30b,hsa-mir-509-1
hsa-mir-23c,1.0,0.022429580524737806,-0.013804525964391093,0.012183900330724954,-0.0161860308464793,-0.015493006085847211,-0.023997769842711115,-0.011134900072782639,0.12357396267784762,-0.018098370913800628
hsa-mir-1304,0.022429580524737806,1.0,0.06710064000147913,0.15144172958577087,0.014034233619151593,-0.010049070965485294,0.1448665801805111,0.05291025047813939,-0.024374681831564025,-0.021474785832069365
hsa-mir-202,-0.013804525964391093,0.06710064000147913,1.0,0.01693871687666606,-0.005210920784492882,0.0080758702358151,-0.014047158120465598,-0.02044569648039039,0.0038615100338439423,0.004183975293418716
hsa-mir-185,0.012183900330724954,0.15144172958577087,0.01693871687666606,1.0,-0.03182975655612667,0.14699874823631295,0.11301540817594403,0.13128967218989804,0.047536080682964894,-0.0021188963010843743
hsa-mir-3124,-0.0161860308464793,0.014034233619151593,-0.005210920784492882,-0.03182975655612667,1.0,-0.03035728490629143,0.029646390624894558,-0.008324951709459532,-0.005059615104486905,-0.007821131380250028
hsa-mir-501,-0.015493006085847211,-0.010049070965485294,0.0080758702358151,0.14699874823631295,-0.03035728490629143,1.0,0.08632042006616682,0.2091609925996314,0.08493912344513965,0.02565107861991177
hsa-mir-193b,-0.023997769842711115,0.1448665801805111,-0.014047158120465598,0.11301540817594403,0.029646390624894558,0.08632042006616682,1.0,0.04318362248102259,-0.08371462624008304,0.1447536863650602
hsa-mir-4691,-0.011134900072782639,0.05291025047813939,-0.02044569648039039,0.13128967218989804,-0.008324951709459532,0.2091609925996314,0.04318362248102259,1.0,-0.037388246921016055,0.028404424658685333
hsa-mir-30b,0.12357396267784762,-0.024374681831564025,0.0038615100338439423,0.047536080682964894,-0.005059615104486905,0.08493912344513965,-0.08371462624008304,-0.037388246921016055,1.0,-0.044045239700981724
hsa-mir-509-1,-0.018098370913800628,-0.021474785832069365,0.004183975293418716,-0.0021188963010843743,-0.007821131380250028,0.02565107861991177,0.1447536863650602,0.028404424658685333,-0.044045239700981724,1.0
