,hsa-mir-202,hsa-mir-10a,hsa-mir-3653,hsa-mir-4777,hsa-mir-4434,hsa-mir-4728,hsa-mir-625,hsa-mir-5690,hsa-mir-4802,hsa-mir-580
hsa-mir-202,1.0,-0.02504561097262955,-0.011750753946823157,-0.024548120386399454,-0.025251962439802208,0.022376132861751087,-0.018231355817601883,0.03475921160979649,-0.021706573534693175,0.09302413753789472
hsa-mir-10a,-0.02504561097262955,1.0,-0.07238748469165544,0.021655988612820615,-0.01823633807233489,0.030373490766942894,-0.02836177032992399,-0.0685386679401883,-0.028227898468311283,-0.033068098785857716
hsa-mir-3653,-0.011750753946823157,-0.07238748469165544,1.0,-0.09715605606467485,0.06867080181436766,0.05693989673061525,0.11749541178945264,0.15019428777781235,0.13931281084736705,0.04075679000781741
hsa-mir-4777,-0.024548120386399454,0.021655988612820615,-0.09715605606467485,1.0,-0.03969367980343358,-0.06755652300516403,-0.13909247958246937,0.0026271393443415463,0.027940938866658035,-0.020792851371808502
hsa-mir-4434,-0.025251962439802208,-0.01823633807233489,0.06867080181436766,-0.03969367980343358,1.0,-0.05829497016800839,0.020588784811581797,0.05679063253200155,0.05535788329462842,-0.003801051919356991
hsa-mir-4728,0.022376132861751087,0.030373490766942894,0.05693989673061525,-0.06755652300516403,-0.05829497016800839,1.0,0.009912676246452498,-0.05489952739839093,0.021341926094918844,-0.0611763057288424
hsa-mir-625,-0.018231355817601883,-0.02836177032992399,0.11749541178945264,-0.13909247958246937,0.020588784811581797,0.009912676246452498,1.0,0.15882294975922254,0.07056178478053457,0.2626468853214275
hsa-mir-5690,0.03475921160979649,-0.0685386679401883,0.15019428777781235,0.0026271393443415463,0.05679063253200155,-0.05489952739839093,0.15882294975922254,1.0,0.050307805671686,0.17358379385399247
hsa-mir-4802,-0.021706573534693175,-0.028227898468311283,0.13931281084736705,0.027940938866658035,0.05535788329462842,0.021341926094918844,0.07056178478053457,0.050307805671686,1.0,0.12273568043175095
hsa-mir-580,0.09302413753789472,-0.033068098785857716,0.04075679000781741,-0.020792851371808502,-0.003801051919356991,-0.0611763057288424,0.2626468853214275,0.17358379385399247,0.12273568043175095,1.0
