,hsa-mir-185,hsa-mir-10a,hsa-mir-3653,hsa-mir-202,hsa-mir-381,hsa-mir-338,hsa-mir-144,hsa-mir-1270,hsa-mir-425,hsa-mir-187
hsa-mir-185,1.0,-0.1160709040874317,0.11165099285658037,0.02453475073367317,0.021526646719021447,0.07540566966399385,0.17652237055366649,0.07113916086794533,0.19016409971843468,0.045092217715235965
hsa-mir-10a,-0.1160709040874317,1.0,-0.0612638498179415,-0.02561094461888823,0.020272227530782012,-0.050989495101027606,0.030889065438425498,-0.005383127063933721,-0.028757510691957727,0.05203775409043586
hsa-mir-3653,0.11165099285658037,-0.0612638498179415,1.0,-0.015522952749474926,-0.05685194877645206,-0.018572474912330796,-0.06552853630142252,0.11316435829807903,0.24466380705370933,0.04944563480221346
hsa-mir-202,0.02453475073367317,-0.02561094461888823,-0.015522952749474926,1.0,-0.003534270680278179,-9.740825257984628e-05,-0.013784842201326872,0.12149044065114104,0.04206960114558078,-0.016915432545104327
hsa-mir-381,0.021526646719021447,0.020272227530782012,-0.05685194877645206,-0.003534270680278179,1.0,-0.0013987243185338617,-0.041421123064672535,-0.03857653211550258,-0.03759106804831836,0.021295941938230006
hsa-mir-338,0.07540566966399385,-0.050989495101027606,-0.018572474912330796,-9.740825257984628e-05,-0.0013987243185338617,1.0,0.2051303233805161,0.27673222227450284,0.027013107816023826,-0.07305735490810489
hsa-mir-144,0.17652237055366649,0.030889065438425498,-0.06552853630142252,-0.013784842201326872,-0.041421123064672535,0.2051303233805161,1.0,-0.05882391673056093,0.00038005999213174956,-0.0754272808345866
hsa-mir-1270,0.07113916086794533,-0.005383127063933721,0.11316435829807903,0.12149044065114104,-0.03857653211550258,0.27673222227450284,-0.05882391673056093,1.0,0.1837124210744588,0.23377665510357784
hsa-mir-425,0.19016409971843468,-0.028757510691957727,0.24466380705370933,0.04206960114558078,-0.03759106804831836,0.027013107816023826,0.00038005999213174956,0.1837124210744588,1.0,0.22025359513663842
hsa-mir-187,0.045092217715235965,0.05203775409043586,0.04944563480221346,-0.016915432545104327,0.021295941938230006,-0.07305735490810489,-0.0754272808345866,0.23377665510357784,0.22025359513663842,1.0
