,hsa-mir-202,hsa-mir-185,hsa-mir-10a,hsa-mir-580,hsa-mir-4434,hsa-mir-3653,hsa-mir-5690,hsa-mir-381,hsa-mir-1270,hsa-mir-548t
hsa-mir-202,1.0,0.01693871687666606,-0.015077709444293957,0.03472993928114521,-0.01843485705420816,0.0008103075079217606,0.05891764267328685,-0.0018804972787829016,0.02245686782042086,-0.026696287139437728
hsa-mir-185,0.01693871687666606,1.0,-0.09505486993280184,0.31402959317573664,-0.05400556533067921,0.08699015181617167,0.1477980711665408,0.06219827734134753,0.1267222579371001,0.16907866063520313
hsa-mir-10a,-0.015077709444293957,-0.09505486993280184,1.0,-0.010530862646829602,-0.0236232306260865,-0.06229804560894688,-0.05606007584990381,0.03116221767474006,0.015956509188784027,-0.010305320241222923
hsa-mir-580,0.03472993928114521,0.31402959317573664,-0.010530862646829602,1.0,-0.017254865437344568,0.01303961596641547,0.15249392397102093,0.20692839256824053,0.0621411349123485,0.1408521834986044
hsa-mir-4434,-0.01843485705420816,-0.05400556533067921,-0.0236232306260865,-0.017254865437344568,1.0,0.08578110679678139,0.0624229282580365,-0.026792627667859947,-0.0017993203220106537,-0.04702438107530719
hsa-mir-3653,0.0008103075079217606,0.08699015181617167,-0.06229804560894688,0.01303961596641547,0.08578110679678139,1.0,0.10093725193006699,-0.0552514372344203,0.16433563630271453,-0.03734827776906281
hsa-mir-5690,0.05891764267328685,0.1477980711665408,-0.05606007584990381,0.15249392397102093,0.0624229282580365,0.10093725193006699,1.0,-0.0670829791281537,0.003964881807865704,0.03130555996895426
hsa-mir-381,-0.0018804972787829016,0.06219827734134753,0.03116221767474006,0.20692839256824053,-0.026792627667859947,-0.0552514372344203,-0.0670829791281537,1.0,-0.026575298017417207,0.007542570453019454
hsa-mir-1270,0.02245686782042086,0.1267222579371001,0.015956509188784027,0.0621411349123485,-0.0017993203220106537,0.16433563630271453,0.003964881807865704,-0.026575298017417207,1.0,0.01881983920533824
hsa-mir-548t,-0.026696287139437728,0.16907866063520313,-0.010305320241222923,0.1408521834986044,-0.04702438107530719,-0.03734827776906281,0.03130555996895426,0.007542570453019454,0.01881983920533824,1.0
