,hsa-mir-202,hsa-mir-10a,hsa-mir-1304,hsa-mir-5690,hsa-mir-3655,hsa-mir-548t,hsa-mir-4726,hsa-mir-4802,hsa-mir-5696,hsa-mir-548j
hsa-mir-202,1.0,-0.02504561097262955,0.060361816774329335,0.03475921160979649,0.040599590339818865,-0.03315592475755898,-0.0336939889281819,-0.021706573534693175,-0.05069456369495324,-0.0507325912493605
hsa-mir-10a,-0.02504561097262955,1.0,-0.048322393835661386,-0.0685386679401883,-0.01930546954515522,0.003351537942596924,0.003658100551442252,-0.028227898468311283,-0.05836595069273717,-0.06869074991948296
hsa-mir-1304,0.060361816774329335,-0.048322393835661386,1.0,-0.017939350203937384,-0.04023036496803295,0.03720679047389379,-0.03788726253220521,0.009805416022562722,0.07080428852509435,0.07021188531983363
hsa-mir-5690,0.03475921160979649,-0.0685386679401883,-0.017939350203937384,1.0,-0.00493524480607081,0.023108346412770084,0.037405757996382724,0.050307805671686,-0.01881111786469523,0.08610514281831566
hsa-mir-3655,0.040599590339818865,-0.01930546954515522,-0.04023036496803295,-0.00493524480607081,1.0,0.06598479862383559,0.03688862043294375,-0.048458972111683436,0.027380545849579944,0.026587173802898167
hsa-mir-548t,-0.03315592475755898,0.003351537942596924,0.03720679047389379,0.023108346412770084,0.06598479862383559,1.0,-0.030023845833415757,0.09377982581858851,0.02892809249185923,0.08113613153828954
hsa-mir-4726,-0.0336939889281819,0.003658100551442252,-0.03788726253220521,0.037405757996382724,0.03688862043294375,-0.030023845833415757,1.0,0.027702512369236522,0.04404282204349055,-0.012571310527036318
hsa-mir-4802,-0.021706573534693175,-0.028227898468311283,0.009805416022562722,0.050307805671686,-0.048458972111683436,0.09377982581858851,0.027702512369236522,1.0,0.07012367423372941,0.10099472335783821
hsa-mir-5696,-0.05069456369495324,-0.05836595069273717,0.07080428852509435,-0.01881111786469523,0.027380545849579944,0.02892809249185923,0.04404282204349055,0.07012367423372941,1.0,0.11125792697616615
hsa-mir-548j,-0.0507325912493605,-0.06869074991948296,0.07021188531983363,0.08610514281831566,0.026587173802898167,0.08113613153828954,-0.012571310527036318,0.10099472335783821,0.11125792697616615,1.0
