,hsa-mir-5690,hsa-mir-6808,hsa-mir-4434,hsa-mir-193b,hsa-mir-378d-2,hsa-mir-4661,hsa-mir-3655,hsa-mir-19a,hsa-mir-425,hsa-mir-501
hsa-mir-5690,1.0,0.053953126853392534,0.05679063253200157,0.05547369339249609,-0.020959308707124747,0.05709674091283294,-0.00493524480607081,0.07829594699425226,0.10393066084770552,0.09520535611583048
hsa-mir-6808,0.053953126853392534,1.0,-0.012479500345777163,0.09120970217575909,0.0035394157216603423,0.053355915803042345,0.1258824772944834,-0.06890726276149305,0.009676880881448606,0.2774686953729036
hsa-mir-4434,0.05679063253200157,-0.012479500345777163,1.0,-0.023873590076716012,0.05375558147206419,0.0597193099827412,0.07270232803596506,-0.015240913359262533,0.014021848147858227,0.02186650750331596
hsa-mir-193b,0.05547369339249609,0.09120970217575909,-0.023873590076716012,1.0,-0.03300936621518754,0.10633409034377195,0.0354844642197574,0.13330034717801129,0.14238879022570006,0.09237589569022392
hsa-mir-378d-2,-0.020959308707124747,0.0035394157216603423,0.05375558147206419,-0.03300936621518754,1.0,0.031341892728191934,0.0691731679705274,0.013373314613222033,-0.003068784038529605,0.03203813197179046
hsa-mir-4661,0.05709674091283294,0.053355915803042345,0.0597193099827412,0.10633409034377195,0.031341892728191934,1.0,0.03712239077122093,0.18661251064563683,0.19713114205384602,0.2645559413222982
hsa-mir-3655,-0.00493524480607081,0.1258824772944834,0.07270232803596506,0.0354844642197574,0.0691731679705274,0.03712239077122093,1.0,0.016592516195327117,-0.014886142720891839,0.05625360542657102
hsa-mir-19a,0.07829594699425226,-0.06890726276149305,-0.015240913359262533,0.13330034717801129,0.013373314613222033,0.18661251064563683,0.016592516195327117,1.0,0.3654965671932675,0.15911106384305568
hsa-mir-425,0.10393066084770552,0.009676880881448606,0.014021848147858227,0.14238879022570006,-0.003068784038529605,0.19713114205384602,-0.014886142720891839,0.3654965671932675,1.0,0.24301925522939424
hsa-mir-501,0.09520535611583048,0.2774686953729036,0.02186650750331596,0.09237589569022392,0.03203813197179046,0.2645559413222982,0.05625360542657102,0.15911106384305568,0.24301925522939424,1.0
