,hsa-mir-4661,hsa-mir-193b,hsa-mir-4434,hsa-mir-425,hsa-mir-195,hsa-mir-6808,hsa-mir-19a,hsa-mir-6507,hsa-mir-5690,hsa-mir-501
hsa-mir-4661,1.0,0.1272188178507823,0.023186190944096265,0.20408713039442034,-0.22790679959679613,0.06154368464168839,0.1920628211974922,0.0025084933977872433,0.04626607575605023,0.2271317670666369
hsa-mir-193b,0.1272188178507823,1.0,-0.05135424678692334,0.14281033013295993,-0.26079699958789354,0.09710672639180505,0.13354894916497415,-0.07452346758643498,0.05389151168301933,0.08632042006616682
hsa-mir-4434,0.023186190944096265,-0.05135424678692334,1.0,0.027922311715181322,-0.0317412787469669,-0.023275559060817505,-0.01305785469017457,-0.08677415318822695,0.0624229282580365,-0.001959965389484772
hsa-mir-425,0.20408713039442034,0.14281033013295993,0.027922311715181322,1.0,-0.18202347095366148,0.013375057737375736,0.3354802051698051,-0.03959146215057763,0.13334089751331757,0.24286607444190486
hsa-mir-195,-0.22790679959679613,-0.26079699958789354,-0.0317412787469669,-0.18202347095366148,1.0,-0.06769380637652758,-0.2081184839486305,0.19002636935613867,-0.027609542596826873,-0.18976228963643327
hsa-mir-6808,0.06154368464168839,0.09710672639180505,-0.023275559060817505,0.013375057737375736,-0.06769380637652758,1.0,-0.07157863201478844,-0.012694391049485474,0.04808375254865169,0.2985982941696283
hsa-mir-19a,0.1920628211974922,0.13354894916497415,-0.01305785469017457,0.3354802051698051,-0.2081184839486305,-0.07157863201478844,1.0,0.13025821823321512,0.06526879281252473,0.12017137416415687
hsa-mir-6507,0.0025084933977872433,-0.07452346758643498,-0.08677415318822695,-0.03959146215057763,0.19002636935613867,-0.012694391049485474,0.13025821823321512,1.0,-0.017825748890789934,0.14623497025758692
hsa-mir-5690,0.04626607575605023,0.05389151168301933,0.0624229282580365,0.13334089751331757,-0.027609542596826873,0.04808375254865169,0.06526879281252473,-0.017825748890789934,1.0,0.044007149951846423
hsa-mir-501,0.2271317670666369,0.08632042006616682,-0.001959965389484772,0.24286607444190486,-0.18976228963643327,0.2985982941696283,0.12017137416415687,0.14623497025758692,0.044007149951846423,1.0
