,hsa-mir-1304,hsa-mir-5690,hsa-mir-509-1,hsa-mir-192,hsa-mir-1911,hsa-mir-1293,hsa-mir-2114,hsa-mir-509-3,hsa-mir-3662,hsa-mir-194-1
hsa-mir-1304,1.0,-0.017939350203937384,-0.025287465933757018,-0.018853481867542397,-0.00037697340936192745,0.15803133761841165,-0.030307274445642532,-0.028330910300076957,0.029407747783838513,-0.015603915339973807
hsa-mir-5690,-0.017939350203937384,1.0,0.01874611448456567,-0.0196643095986463,-0.022213486353543376,0.06934504295308827,0.0030927191842049554,0.02051325077133918,0.007824914963465535,-0.04459792080757703
hsa-mir-509-1,-0.025287465933757018,0.01874611448456567,1.0,-0.02343923735121885,-0.0020016574929074002,0.03148600592096502,0.0716633240408026,0.9947852451928133,0.10911007538277298,-0.023116605994976433
hsa-mir-192,-0.018853481867542397,-0.0196643095986463,-0.02343923735121885,1.0,-0.008640379521852119,-0.029114363371717508,-0.005839728983393893,-0.026031395122372226,-0.03041257414384188,0.8844605496594018
hsa-mir-1911,-0.00037697340936192745,-0.022213486353543376,-0.0020016574929074002,-0.008640379521852119,1.0,0.002365367440077457,0.009448574957694252,-0.0007754755167413207,0.04582771354687153,-0.010130677585693117
hsa-mir-1293,0.15803133761841165,0.06934504295308827,0.03148600592096502,-0.029114363371717508,0.002365367440077457,1.0,-0.007006521026225844,0.023658467949446184,0.1385832299644666,-0.04259769643253505
hsa-mir-2114,-0.030307274445642532,0.0030927191842049554,0.0716633240408026,-0.005839728983393893,0.009448574957694252,-0.007006521026225844,1.0,0.06736326806493582,-0.033710042601391724,-0.019959337856251137
hsa-mir-509-3,-0.028330910300076957,0.02051325077133918,0.9947852451928133,-0.026031395122372226,-0.0007754755167413207,0.023658467949446184,0.06736326806493582,1.0,0.105568677057609,-0.02520654706735607
hsa-mir-3662,0.029407747783838513,0.007824914963465535,0.10911007538277298,-0.03041257414384188,0.04582771354687153,0.1385832299644666,-0.033710042601391724,0.105568677057609,1.0,-0.051842163550188794
hsa-mir-194-1,-0.015603915339973807,-0.04459792080757703,-0.023116605994976433,0.8844605496594018,-0.010130677585693117,-0.04259769643253505,-0.019959337856251137,-0.02520654706735607,-0.051842163550188794,1.0
