,hsa-mir-1304,hsa-mir-192,hsa-mir-5690,hsa-mir-509-1,hsa-mir-4461,hsa-mir-514a-1,hsa-mir-508,hsa-mir-194-2,hsa-mir-194-1,hsa-mir-1269a
hsa-mir-1304,1.0,-0.024369014502833054,-0.022194797173284306,-0.019235472469687168,0.05629439905941475,-0.02433087929532022,-0.022294767492651617,-0.018758198283731375,-0.01882659920264618,-0.055643734976168466
hsa-mir-192,-0.024369014502833054,1.0,-0.0270813937006104,-0.024830086101449,0.049213673630068205,-0.027873044422803143,-0.027155122401796242,0.8826005812883034,0.8860737427460846,-0.0414554706245526
hsa-mir-5690,-0.022194797173284306,-0.0270813937006104,1.0,-0.0044131517255418355,-0.010388342619101319,0.00782338560218491,-0.0023821604008133273,-0.055104859025964126,-0.06018010288968279,0.03917333315922641
hsa-mir-509-1,-0.019235472469687168,-0.024830086101449,-0.0044131517255418355,1.0,0.027597922102737545,0.9455841946209446,0.9562194312380687,-0.024686607897566288,-0.023546045664906375,0.059722911599865
hsa-mir-4461,0.05629439905941475,0.049213673630068205,-0.010388342619101319,0.027597922102737545,1.0,0.009987521058511735,0.017085073934794765,-0.01583675937927557,-0.015197783548375622,0.06852927686522706
hsa-mir-514a-1,-0.02433087929532022,-0.027873044422803143,0.00782338560218491,0.9455841946209446,0.009987521058511735,1.0,0.9845008949075689,-0.028527416006570633,-0.027458216968822613,0.04266384826187999
hsa-mir-508,-0.022294767492651617,-0.027155122401796242,-0.0023821604008133273,0.9562194312380687,0.017085073934794765,0.9845008949075689,1.0,-0.02843392130835321,-0.027316905961336884,0.05092131074000443
hsa-mir-194-2,-0.018758198283731375,0.8826005812883034,-0.055104859025964126,-0.024686607897566288,-0.01583675937927557,-0.028527416006570633,-0.02843392130835321,1.0,0.994335913220062,-0.060110364006004405
hsa-mir-194-1,-0.01882659920264618,0.8860737427460846,-0.06018010288968279,-0.023546045664906375,-0.015197783548375622,-0.027458216968822613,-0.027316905961336884,0.994335913220062,1.0,-0.05930705144489509
hsa-mir-1269a,-0.055643734976168466,-0.0414554706245526,0.03917333315922641,0.059722911599865,0.06852927686522706,0.04266384826187999,0.05092131074000443,-0.060110364006004405,-0.05930705144489509,1.0
