,hsa-mir-192,hsa-mir-5690,hsa-mir-1304,hsa-mir-508,hsa-mir-509-1,hsa-mir-3662,hsa-mir-2114,hsa-mir-194-1,hsa-mir-514a-1,hsa-mir-1911
hsa-mir-192,1.0,-0.042292342378038895,-0.016735000352344914,-0.034878346493959475,-0.03477373335609385,-0.036943496060408136,-0.005056794394330363,0.8854028993294869,-0.03538391239146448,-0.009983451698986059
hsa-mir-5690,-0.042292342378038895,1.0,-0.002342907665634604,-0.014261165479450727,-0.01110801659104898,-0.013110105892633695,-0.011332264264456628,-0.062487686710422694,-0.0064679043921617154,-0.02579506994220642
hsa-mir-1304,-0.016735000352344914,-0.002342907665634604,1.0,-0.0258737232568663,-0.021474785832069365,0.026655603803718134,-0.03155328486217387,-0.010712938312449953,-0.02598073145321212,-0.0010075352696199726
hsa-mir-508,-0.034878346493959475,-0.014261165479450727,-0.0258737232568663,1.0,0.9692616731036775,0.12362896957128838,0.01859412533873877,-0.037259782637816645,0.9781027518463119,-0.006080493752321101
hsa-mir-509-1,-0.03477373335609385,-0.01110801659104898,-0.021474785832069365,0.9692616731036775,1.0,0.1125284376416551,0.03558500879503702,-0.038507585472608005,0.9565096499066981,-0.004818915790873883
hsa-mir-3662,-0.036943496060408136,-0.013110105892633695,0.026655603803718134,0.12362896957128838,0.1125284376416551,1.0,-0.043286768559608425,-0.058164397761940025,0.1169372522539951,0.04333380036199363
hsa-mir-2114,-0.005056794394330363,-0.011332264264456628,-0.03155328486217387,0.01859412533873877,0.03558500879503702,-0.043286768559608425,1.0,-0.022650715818025437,0.018114842824291696,0.010762309090206422
hsa-mir-194-1,0.8854028993294869,-0.062487686710422694,-0.010712938312449953,-0.037259782637816645,-0.038507585472608005,-0.058164397761940025,-0.022650715818025437,1.0,-0.037732853452112664,-0.011011589209469
hsa-mir-514a-1,-0.03538391239146448,-0.0064679043921617154,-0.02598073145321212,0.9781027518463119,0.9565096499066981,0.1169372522539951,0.018114842824291696,-0.037732853452112664,1.0,-0.006296079919876445
hsa-mir-1911,-0.009983451698986059,-0.02579506994220642,-0.0010075352696199726,-0.006080493752321101,-0.004818915790873883,0.04333380036199363,0.010762309090206422,-0.011011589209469,-0.006296079919876445,1.0
