,stage_1,stage_2,stage_3,stage_4
hsa-let-7a-1,0.10823425456110228,0.08566772053460041,0.11258527802685891,-0.016214662112399327
hsa-let-7a-2,0.11360525081149328,0.09141087319646615,0.1170740184486885,-0.012778443393194394
hsa-let-7a-3,0.10811820198825828,0.08550673147704026,0.11130116363587861,-0.018098036466591715
hsa-let-7b,0.1863611202740703,0.21661890920828966,0.12795262290946088,0.16511950362740418
hsa-let-7c,-0.2519832090680656,-0.3277745720386016,-0.38576556845939064,-0.4523308103646495
hsa-let-7d,0.33831497485972695,0.4437513106780656,0.2977211180799587,0.06813119385627057
hsa-let-7e,-0.038611913573020344,-0.0752868363836687,-0.0010547174754458827,-0.34281898645981435
hsa-let-7f-1,-0.022455946063365984,-0.04463884721844361,0.05314113225610356,-0.2688497840914536
hsa-let-7f-2,-0.020606296507190036,-0.04160203768144828,0.054479024827519526,-0.26360548105208187
hsa-let-7g,0.03833650303184988,0.014771932191344234,-0.008534174520938907,-0.12383785621027414
hsa-let-7i,0.15915442704441837,0.13480870265707504,0.09284889534628285,-0.11156455256120311
hsa-mir-1-1,-0.2413721500304224,-0.6084546642646381,-0.6073884796253791,-0.6097272864912889
hsa-mir-1-2,-0.14582965186229743,-0.563453625656153,-0.587314228370534,-0.6038073949485767
hsa-mir-100,0.022525554386448134,-0.12205982266811333,-0.061010201768353804,0.0059643933125635125
hsa-mir-101-1,-0.20438854457475894,-0.2427044415575985,-0.15284149130238273,-0.1426536695756586
hsa-mir-101-2,-0.20730860270408927,-0.24432464640923895,-0.1541346073562045,-0.14540988611459743
hsa-mir-103a-1,0.23094475502228082,0.19449120626625105,0.24032489350586245,0.26253101961092506
hsa-mir-103a-2,0.22827682487986412,0.19239288308465366,0.23895944408015124,0.26335913531573435
hsa-mir-103b-1,0.0,0.0,0.0,0.0
hsa-mir-103b-2,0.0,0.0,0.0,0.0
hsa-mir-105-1,-0.14639732197400981,-0.16507935837601453,-0.277774943651586,-0.017957169376349107
hsa-mir-105-2,-0.1165821675636381,-0.16175356477539593,-0.2789556707723901,-0.029868338017860024
hsa-mir-106a,0.3805044383127928,0.16610610416652832,0.1653828580327863,0.5580136204314812
hsa-mir-106b,-0.2378263678039343,-0.25015645036753514,-0.2298545326748961,-0.25170590118302344
hsa-mir-107,-0.0035127814140585717,-0.042185814836806265,0.0536161083641999,0.04366661165757105
hsa-mir-10a,-0.6535885286109407,-0.6237262189993499,-0.5966049767106387,-0.43438661130887923
hsa-mir-10b,-0.21816196384101166,-0.10304019528613007,-0.07384098644981184,-0.37397821003395776
hsa-mir-1178,-1.1390275403227097,-1.629913157557743,-2.0463591779408836,-8.566105945190312
hsa-mir-1179,0.09259703727207996,0.11055311123397506,-0.0651807710351774,0.004405985291007698
hsa-mir-1180,0.30099849126468525,0.2952969297531873,0.3079947919499421,0.12790902235155135
hsa-mir-1181,0.2683347796075055,0.5115684084353863,0.8500970381957063,-0.025026660321931425
hsa-mir-1182,6.12180659779875,6.103539193578904,6.4780935362893,6.7688459597533885
hsa-mir-1183,0.0,0.0,0.0,0.0
hsa-mir-1184-1,0.0,2.6475911163373373,0.0,0.0
hsa-mir-1184-2,2.0519623244985374,0.0,3.8882659239895085,0.0
hsa-mir-1184-3,0.0,2.493417769432135,0.0,0.0
hsa-mir-1185-1,0.41547266270638544,-0.20161667823758725,0.194165067388653,0.6525287530196834
hsa-mir-1185-2,-0.19179320506536846,-0.5708899726286962,-0.7841923929790018,-0.2493580573361358
hsa-mir-1193,7.400366089769228,6.001041830379603,7.849471051213633,0.0
hsa-mir-1197,-0.3398221690769394,-1.038269754802654,0.385122572047989,0.6226395628265645
hsa-mir-1199,5.079689437646794,5.250874236511707,5.8451717268357015,0.0
hsa-mir-1200,0.0,0.0,0.0,0.0
hsa-mir-1202,0.0,0.0,0.0,0.0
hsa-mir-1203,3.8452932157019197,2.834256787673532,0.0,0.0
hsa-mir-1204,4.676373277539148,2.9267326596947814,0.0,0.0
hsa-mir-1205,0.0,0.0,0.0,0.0
hsa-mir-1206,2.5668581733048197,0.0,0.0,0.0
hsa-mir-1207,2.791692600736294,2.622937954917683,4.40042472666801,0.0
hsa-mir-1208,0.0,0.0,0.0,0.0
hsa-mir-122,0.4308083897768816,1.7107029045093387,-3.8393770797303453,-0.761527468760017
hsa-mir-1224,1.0560337667362645,1.056197293857652,2.077930645447755,-0.08652567436716566
hsa-mir-1225,1.3920710284534183,1.2029853077495243,1.266280307384897,1.8684097018415047
hsa-mir-1226,0.01124622456478552,-0.05187556301228473,0.004424610564185018,-0.25721837611369425
hsa-mir-1227,0.22310660061498877,0.3032169345998091,-0.36476027884237444,-0.00872546698842301
hsa-mir-1228,-0.080946786247061,-0.05369361699787757,0.07003205433009524,-0.1773169529699712
hsa-mir-1229,0.09541474492142812,0.11989227489739235,0.21265585418033764,0.23181921356715196
hsa-mir-1231,-0.6643481016205457,-0.6313231375396489,-0.99037220622421,-1.991217160399844
hsa-mir-1233-1,0.0,0.0,0.0,0.0
hsa-mir-1233-2,0.0,0.0,0.0,0.0
hsa-mir-1234,-0.03572242863846539,0.03778416944237153,0.18116259601343793,0.2629948727648995
hsa-mir-1236,-0.27211516600784874,-0.0939035429513332,-0.09520170814561175,0.823521324341409
hsa-mir-1237,-0.4779745018247389,-0.65599362818757,-0.7172354804532904,-0.5184665966105527
hsa-mir-1238,1.430416848458524,1.058827271504809,1.5824863025168696,1.0128883966498696
hsa-mir-124-1,2.267864829730816,1.1778900240025845,1.6354130212171205,-0.9336964343182436
hsa-mir-124-2,1.3730576374018177,0.28933367943742483,0.525546717063689,-3.849554280383776
hsa-mir-124-3,2.3648954023506814,1.394319015050471,1.7279923985043262,-2.121133994034589
hsa-mir-1243,0.030432933318230528,0.1293632549549958,-0.38817079121832565,0.7944054400362431
hsa-mir-1244-1,4.862930605419024,5.1081483240631576,0.0,5.436058645934993
hsa-mir-1244-2,3.9671604587526845,4.105284056834499,3.5315044464188516,0.0
hsa-mir-1244-3,0.0,0.0,0.0,0.0
hsa-mir-1244-4,0.0,0.0,0.0,0.0
hsa-mir-1245a,0.20399516818734093,0.09002926548441423,0.22428376243989798,0.3784285495365023
hsa-mir-1245b,0.11911877735234602,0.40235713512436316,0.27933871243377384,-0.8374093630038387
hsa-mir-1246,0.06534495841149034,-0.3989311115382368,0.24883850569394592,0.1970791446081884
hsa-mir-1247,-0.4334344627613036,-0.5154455785444826,-0.700089092974505,-0.2639055358719624
hsa-mir-1248,0.4875027810967853,0.24409494898006937,0.2989563441928195,-0.18346677767101233
hsa-mir-1249,0.5991289669754893,0.7131213554363051,0.41073758976726915,0.20166183846983357
hsa-mir-1250,-0.6674697369611261,-0.5654290159154464,-1.189264165708086,-1.4482603408617813
hsa-mir-1251,0.47355895590291774,0.5181967513918762,0.5509180557628787,-2.0625161799405722
hsa-mir-1252,1.1841484262498383,1.0615270645179855,0.6708256515885399,0.8387567362401407
hsa-mir-1253,0.0,4.156917675721928,0.0,7.089090771669905
hsa-mir-1254-1,0.5131101984226459,0.3397410914227954,0.5564689057931251,0.5984068922404059
hsa-mir-1254-2,0.28368305189558596,0.2287782995595826,0.43429981451732336,0.20664396288954306
hsa-mir-1255a,0.10740953432196299,0.07824835290854884,0.17048756644405755,0.057828806396847524
hsa-mir-1255b-1,0.0,0.0,0.0,0.0
hsa-mir-1255b-2,0.0,0.0,0.0,0.0
hsa-mir-1256,0.245621242334545,0.39152865840741824,0.5710786506037594,1.249459235288584
hsa-mir-1257,0.0071846175013608096,0.03727002888160365,-0.6679476302486141,-0.7977773212773447
hsa-mir-1258,-0.10423835328451002,-0.04836372519968967,0.06632578682847808,0.07694307122968494
hsa-mir-125a,-0.019196367188938454,0.049533449575866646,-0.044366553820580815,-0.30878928613742657
hsa-mir-125b-1,0.058900007956568,0.01777492127942367,-0.06316643054490859,-0.18355240477019133
hsa-mir-125b-2,0.032605746681033936,-0.007072043249153677,-0.09972550807465509,-0.23489247566393548
hsa-mir-126,-0.18331061232917376,-0.19299589450196245,-0.09033079499598096,-0.3131957657854991
hsa-mir-1260a,5.313075955778335,4.756822288474411,5.043776938575144,0.0
hsa-mir-1260b,0.01629898469818594,-0.595511251129627,-0.3951526040716935,0.2608109230770703
hsa-mir-1261,0.0,0.0,0.0,0.0
